"","ID.true","Word","Label","Task","EventTime","Value","ReactionTime","Key_value_F","Key_value_J","Comments","Group","LogReactionTime","TrialNumber"
"1","5fb9eb323531776e460fe5e0","free","calibrator","Valence",1727876638072,"positive",2055,"negative","positive","negative;positive","B",7.62803112693033,1
"2","5fb9eb323531776e460fe5e0","joke","calibrator","Valence",1727876639915,"positive",1081,"negative","positive","negative;positive","B",6.98564181763921,2
"3","5fb9eb323531776e460fe5e0","insecure","calibrator","Valence",1727876641573,"negative",888,"negative","positive","negative;positive","B",6.78897174299217,3
"4","5fb9eb323531776e460fe5e0","icebox","calibrator","Valence",1727876644022,"positive",1687,"negative","positive","negative;positive","B",7.43070708254597,4
"5","5fb9eb323531776e460fe5e0","industry","calibrator","Valence",1727876647212,"negative",2425,"negative","positive","negative;positive","B",7.79358680337158,5
"6","5fb9eb323531776e460fe5e0","jail","calibrator","Valence",1727876648914,"negative",937,"negative","positive","negative;positive","B",6.84268328223842,6
"7","5fb9eb323531776e460fe5e0","grin","calibrator","Valence",1727876650819,"positive",1132,"negative","positive","negative;positive","B",7.03174125876313,7
"8","5fb9eb323531776e460fe5e0","hat","calibrator","Valence",1727876652902,"positive",1324,"negative","positive","negative;positive","B",7.18841273649695,8
"9","5fb9eb323531776e460fe5e0","invader","calibrator","Valence",1727876654762,"negative",1096,"negative","positive","negative;positive","B",6.99942246750796,9
"10","5fb9eb323531776e460fe5e0","kitten","calibrator","Valence",1727876656163,"positive",631,"negative","positive","negative;positive","B",6.44730586254121,10
"11","5c205371da51990001e17313","industry","calibrator","Valence",1727875868111,"negative",3336,"negative","positive","negative;positive","B",8.11252776347864,1
"12","5c205371da51990001e17313","kitten","calibrator","Valence",1727875869556,"positive",675,"negative","positive","negative;positive","B",6.51471269087253,2
"13","5c205371da51990001e17313","icebox","calibrator","Valence",1727875871339,"negative",1013,"negative","positive","negative;positive","B",6.92067150424868,3
"14","5c205371da51990001e17313","joke","calibrator","Valence",1727875872818,"positive",712,"negative","positive","negative;positive","B",6.56807791141198,4
"15","5c205371da51990001e17313","free","calibrator","Valence",1727875874275,"positive",690,"negative","positive","negative;positive","B",6.5366915975913,5
"16","5c205371da51990001e17313","jail","calibrator","Valence",1727875875735,"negative",697,"negative","positive","negative;positive","B",6.54678541076052,6
"17","5c205371da51990001e17313","insecure","calibrator","Valence",1727875877143,"negative",638,"negative","positive","negative;positive","B",6.45833828334479,7
"18","5c205371da51990001e17313","grin","calibrator","Valence",1727875878590,"positive",687,"negative","positive","negative;positive","B",6.53233429222235,8
"19","5c205371da51990001e17313","invader","calibrator","Valence",1727875880122,"negative",767,"negative","positive","negative;positive","B",6.64248680136726,9
"20","5c205371da51990001e17313","hat","calibrator","Valence",1727875881847,"positive",957,"negative","positive","negative;positive","B",6.86380339145295,10
"21","63f779382e81070cd6f77b5e","icebox","calibrator","Valence",1727879456743,"positive",2258,"negative","positive","negative;positive","B",7.72223474470961,1
"22","63f779382e81070cd6f77b5e","jail","calibrator","Valence",1727879458473,"negative",965,"negative","positive","negative;positive","B",6.87212810133899,2
"23","63f779382e81070cd6f77b5e","joke","calibrator","Valence",1727879460116,"positive",887,"negative","positive","negative;positive","B",6.78784498230958,3
"24","63f779382e81070cd6f77b5e","insecure","calibrator","Valence",1727879461899,"negative",1019,"negative","positive","negative;positive","B",6.92657703322272,4
"25","63f779382e81070cd6f77b5e","industry","calibrator","Valence",1727879464123,"positive",1465,"negative","positive","negative;positive","B",7.28961052145117,5
"26","63f779382e81070cd6f77b5e","grin","calibrator","Valence",1727879465492,"positive",612,"negative","positive","negative;positive","B",6.41673228251233,6
"27","63f779382e81070cd6f77b5e","kitten","calibrator","Valence",1727879466748,"positive",495,"negative","positive","negative;positive","B",6.20455776256869,7
"28","63f779382e81070cd6f77b5e","hat","calibrator","Valence",1727879467972,"positive",466,"negative","positive","negative;positive","B",6.14418563412565,8
"29","63f779382e81070cd6f77b5e","free","calibrator","Valence",1727879469605,"positive",870,"negative","positive","negative;positive","B",6.76849321164863,9
"30","63f779382e81070cd6f77b5e","invader","calibrator","Valence",1727879470930,"negative",563,"negative","positive","negative;positive","B",6.33327962813969,10
"31","5de985cf1be52f0a75357332","polite","calibrator","Semantic",1727861630941,"concrete",2069,"abstract","concrete","abstract;concrete","A",7.63482067774554,1
"32","5de985cf1be52f0a75357332","infinity","calibrator","Semantic",1727861634053,"abstract",2353,"abstract","concrete","abstract;concrete","A",7.76344638872736,2
"33","5de985cf1be52f0a75357332","whistle","calibrator","Semantic",1727861636767,"concrete",1958,"abstract","concrete","abstract;concrete","A",7.57967882309046,3
"34","5de985cf1be52f0a75357332","kick","calibrator","Semantic",1727861638967,"concrete",1443,"abstract","concrete","abstract;concrete","A",7.27447955877387,4
"35","5de985cf1be52f0a75357332","grasshopper","calibrator","Semantic",1727861640973,"concrete",1250,"abstract","concrete","abstract;concrete","A",7.13089883029635,5
"36","5de985cf1be52f0a75357332","gas","calibrator","Semantic",1727861644636,"abstract",2909,"abstract","concrete","abstract;concrete","A",7.9755646584952,6
"37","5de985cf1be52f0a75357332","marriage","calibrator","Semantic",1727861646353,"abstract",960,"abstract","concrete","abstract;concrete","A",6.86693328446188,7
"38","5de985cf1be52f0a75357332","theory","calibrator","Semantic",1727861648931,"abstract",1822,"abstract","concrete","abstract;concrete","A",7.5076900778199,8
"39","5de985cf1be52f0a75357332","sugar","calibrator","Semantic",1727861650737,"concrete",1052,"abstract","concrete","abstract;concrete","A",6.95844839329766,9
"40","5de985cf1be52f0a75357332","shirt","calibrator","Semantic",1727861652479,"concrete",983,"abstract","concrete","abstract;concrete","A",6.89060912014717,10
"41","66c9eb78c1a775cf07bbe72c","grin","calibrator","Valence",1727876001711,"negative",1157,"negative","positive","negative;positive","B",7.05358572719368,1
