"","X","ID.true","Word","Label","ConcValCombo","Task","BlockOrder","Group","Response","Accuracy","EventTime","Value","RT","ReactionTime","Key_value_F","Key_value_J","Comments","LogReactionTime","LogRT","TrialNumber","Switch","Response.n","CorrectedResponse","CorrectedAccuracy"
"1",1,"638f6f1ebb540eedd7097e44","degrade","test_val","abstract-negative","Valence","VC","A","negative",1,1728920983591,"negative",6336,10103,"positive","negative","positive;negative",9.22058768842773,8.75400293349426,1,"Switch",NA,"negative",1
"2",2,"638f6f1ebb540eedd7097e44","believe","test_val","abstract-positive","Valence","VC","A","positive",1,1728920987843,"positive",3047.5,3490,"positive","negative","positive;negative",8.15765701519647,8.02207686135543,2,"Switch",NA,"positive",1
"3",3,"638f6f1ebb540eedd7097e44","slap","test_val","concrete-negative","Valence","VC","A","negative",1,1728920991713,"negative",3127,3111,"positive","negative","positive;negative",8.04269949689764,8.04782935745784,3,"Switch",NA,"negative",1
"4",4,"638f6f1ebb540eedd7097e44","vomit","test_val","concrete-negative","Valence","VC","A","negative",1,1728920997272,"negative",3595.5,4797,"positive","negative","positive;negative",8.47574600150206,8.18743834254255,4,"Switch",NA,"negative",1
"5",5,"638f6f1ebb540eedd7097e44","zing","test_val","abstract-positive","Valence","VC","A","positive",1,1728921000194,"positive",2490.5,2158,"positive","negative","positive;negative",7.67693714581808,7.82023877251334,5,"Switch",NA,"positive",1
"6",6,"638f6f1ebb540eedd7097e44","bleed","test_val","concrete-negative","Valence","VC","A","negative",1,1728921002435,"negative",2406,1479,"positive","negative","positive;negative",7.2991214627108,7.78572089653462,6,"Switch",NA,"negative",1
"7",7,"638f6f1ebb540eedd7097e44","cook","test_val","concrete-positive","Valence","VC","A","positive",1,1728921004428,"positive",5794,1232,"positive","negative","positive;negative",7.11639414409346,8.66457817832929,7,"Switch",NA,"positive",1
"8",8,"638f6f1ebb540eedd7097e44","sing","test_val","concrete-positive","Valence","VC","A","positive",1,1728921006691,"positive",2187,1500,"positive","negative","positive;negative",7.3132203870903,7.69028602067677,8,"Switch",NA,"positive",1
"9",9,"638f6f1ebb540eedd7097e44","condemn","test_val","abstract-negative","Valence","VC","A","negative",1,1728921010409,"negative",2911,2959,"positive","negative","positive;negative",7.99260665240021,7.97625194374562,9,"Switch",NA,"negative",1
"10",10,"638f6f1ebb540eedd7097e44","laugh","test_val","concrete-positive","Valence","VC","A","positive",1,1728921012336,"positive",2336,1168,"positive","negative","positive;negative",7.06304816338817,7.75619534394812,10,"Switch",NA,"positive",1
