ConcValCombo_Intuitive,Word,Task,F_value,J_value,Group
concrete-positive,construct,Concrete,abstract,concrete,A
concrete-positive,help,Concrete,abstract,concrete,A
concrete-positive,support,Concrete,abstract,concrete,A
concrete-positive,deliver,Concrete,abstract,concrete,A
concrete-positive,clean,Concrete,abstract,concrete,A
concrete-positive,dance,Concrete,abstract,concrete,A
concrete-positive,play,Concrete,abstract,concrete,A
concrete-positive,lift,Concrete,abstract,concrete,A
concrete-positive,play,Concrete,abstract,concrete,A
concrete-positive,explore,Concrete,abstract,concrete,A
concrete-negative,punch,Concrete,abstract,concrete,A
concrete-negative,strangle,Concrete,abstract,concrete,A
concrete-negative,scratch,Concrete,abstract,concrete,A
concrete-negative,smash,Concrete,abstract,concrete,A
concrete-negative,destroy,Concrete,abstract,concrete,A
concrete-negative,steal,Concrete,abstract,concrete,A
concrete-negative,slap,Concrete,abstract,concrete,A
concrete-negative,stab,Concrete,abstract,concrete,A
concrete-negative,choke,Concrete,abstract,concrete,A
concrete-negative,suffocate,Concrete,abstract,concrete,A
abstract-positive,appreciate,Concrete,abstract,concrete,A
abstract-positive,empower,Concrete,abstract,concrete,A
abstract-positive,innovate,Concrete,abstract,concrete,A
abstract-positive,harmonize,Concrete,abstract,concrete,A
abstract-positive,inspire,Concrete,abstract,concrete,A
abstract-positive,encourage,Concrete,abstract,concrete,A
abstract-positive,revitalize,Concrete,abstract,concrete,A
abstract-positive,thrive,Concrete,abstract,concrete,A
abstract-positive,embolden,Concrete,abstract,concrete,A
abstract-positive,validate,Concrete,abstract,concrete,A
abstract-negative,dread,Concrete,abstract,concrete,A
abstract-negative,obsess,Concrete,abstract,concrete,A
abstract-negative,worry,Concrete,abstract,concrete,A
abstract-negative,resent,Concrete,abstract,concrete,A
abstract-negative,envy,Concrete,abstract,concrete,A
abstract-negative,doubt,Concrete,abstract,concrete,A
abstract-negative,deceive,Concrete,abstract,concrete,A
abstract-negative,betray,Concrete,abstract,concrete,A
abstract-negative,manipulate,Concrete,abstract,concrete,A
abstract-negative,neglect,Concrete,abstract,concrete,A
