"","Word","ConcValStrict"
"1","befall","concrete-negative"
"2","consider","concrete-positive"
"3","esteem","abstract-positive"
"4","fall","abstract-negative"
"5","running","abstract-positive"
"6","break","concrete-negative"
"7","criticize","abstract-negative"
"8","scratch","concrete-negative"
"9","build","concrete-positive"
"10","impose","concrete-negative"
"11","qualify","concrete-positive"
"12","scorn","abstract-negative"
"13","beware","concrete-negative"
"14","obsess","abstract-negative"
"15","loathe","abstract-negative"
"16","cherish","abstract-positive"
"17","hug","concrete-positive"
"18","excell","abstract-positive"
"19","resent","abstract-negative"
"20","embolden","abstract-positive"
"21","respect","abstract-positive"
"22","admire","abstract-positive"
"23","flourish","abstract-positive"
"24","cuddle","concrete-positive"
"25","doubt","abstract-negative"
"26","exploit","concrete-negative"
"27","hurl","abstract-negative"
"28","repair","concrete-positive"
"29","sail","abstract-positive"
"30","smack","abstract-negative"
"31","murder","concrete-negative"
"32","adore","abstract-positive"
"33","worry","abstract-negative"
"34","kill","concrete-negative"
"35","rot","concrete-negative"
"36","smile","concrete-positive"
"37","behold","concrete-positive"
"38","feeling","concrete-positive"
"39","stab","concrete-negative"
"40","justify","concrete-positive"
