,Word,ConcValCombo_moderate,ConcValCombo_extreme,V.Mean.Sum,Conc.M
0,abandon,neutral-negative,neutral-neutral,2.84,2.54
1,abduct,neutral-negative,neutral-neutral,2.42,2.88
2,abide,abstract-neutral,neutral-neutral,5.52,1.68
3,abolish,neutral-negative,neutral-neutral,3.84,2.19
4,abort,neutral-negative,neutral-neutral,3.1,2.83
5,absinthe,concrete-negative,neutral-neutral,3.53,4.3
6,absolve,abstract-neutral,neutral-neutral,4.58,1.85
7,absorb,neutral-neutral,neutral-neutral,5.5,3.11
8,abstain,neutral-neutral,neutral-neutral,4.4,2.38
9,accelerate,neutral-positive,neutral-neutral,6.1,3.48
10,accept,neutral-positive,neutral-neutral,6.39,3.03
11,accommodate,abstract-positive,neutral-neutral,6.35,1.86
12,accompany,neutral-neutral,neutral-neutral,5.47,3.07
13,accomplish,neutral-positive,neutral-positive,7.45,2.33
14,accumulate,neutral-positive,neutral-neutral,6.33,3.0
15,accuse,neutral-negative,neutral-neutral,2.68,2.25
16,achieve,neutral-positive,neutral-positive,7.75,2.29
17,acknowledge,neutral-positive,neutral-neutral,6.43,2.03
18,acquire,neutral-neutral,neutral-neutral,5.5,2.93
19,act,neutral-neutral,neutral-neutral,5.64,2.46
20,activate,neutral-neutral,neutral-neutral,5.7,2.97
21,adapt,neutral-neutral,neutral-neutral,5.84,2.41
22,add,neutral-positive,neutral-neutral,6.23,3.0
23,addicted,neutral-negative,neutral-neutral,2.89,2.13
24,adhere,neutral-neutral,neutral-neutral,5.17,2.62
25,adjourn,neutral-neutral,neutral-neutral,5.5,2.54
26,adjust,neutral-neutral,neutral-neutral,5.76,2.93
27,administer,neutral-neutral,neutral-neutral,4.4,2.53
28,admire,neutral-positive,neutral-positive,7.35,2.04
29,admired,abstract-positive,neutral-positive,7.25,1.84
30,admit,neutral-neutral,neutral-neutral,5.56,2.32
31,adopt,neutral-positive,neutral-neutral,6.9,2.36
32,adore,neutral-positive,neutral-positive,7.37,2.34
33,advertise,neutral-neutral,neutral-neutral,5.16,2.81
34,advise,neutral-neutral,neutral-neutral,5.44,2.03
35,affect,abstract-neutral,neutral-neutral,5.65,1.93
36,afford,abstract-positive,neutral-neutral,6.56,1.83
37,aggravate,neutral-negative,neutral-neutral,2.55,2.26
38,agitate,neutral-negative,neutral-neutral,3.36,2.93
39,agree,neutral-positive,neutral-positive,7.17,2.31
40,aim,neutral-neutral,neutral-neutral,5.95,3.27
41,alienate,abstract-negative,neutral-neutral,2.79,1.83
42,alight,neutral-neutral,neutral-neutral,5.67,2.96
43,align,neutral-neutral,neutral-neutral,5.95,2.79
44,alleviate,neutral-positive,neutral-neutral,6.25,2.48
45,allow,neutral-positive,neutral-neutral,6.39,2.41
46,alter,neutral-neutral,neutral-neutral,4.57,3.07
47,amaze,abstract-positive,neutral-positive,7.24,2.0
48,amend,neutral-neutral,neutral-neutral,5.85,2.32
49,amputate,neutral-negative,neutral-neutral,2.1,3.9
50,amuse,neutral-positive,neutral-positive,7.1,2.57
51,analyze,neutral-neutral,neutral-neutral,5.65,2.3
52,annihilate,neutral-negative,neutral-neutral,3.15,2.75
53,announce,neutral-neutral,neutral-neutral,5.52,3.31
54,annoy,abstract-negative,neutral-neutral,2.49,1.93
55,annul,neutral-negative,neutral-neutral,3.83,2.28
56,answer,neutral-positive,neutral-neutral,6.1,2.89
57,antagonize,neutral-negative,neutral-neutral,3.15,2.43
58,anticipate,abstract-neutral,neutral-neutral,6.0,1.54
59,apologize,neutral-neutral,neutral-neutral,4.94,2.63
60,appear,neutral-neutral,neutral-neutral,5.25,3.13
61,appease,abstract-neutral,neutral-neutral,5.95,1.93
62,applaud,neutral-positive,neutral-neutral,6.7,3.8
63,apply,neutral-neutral,neutral-neutral,5.16,2.5
64,appoint,neutral-neutral,neutral-neutral,5.95,2.24
65,appreciate,neutral-positive,neutral-positive,7.33,2.23
66,apprehend,neutral-neutral,neutral-neutral,4.14,2.82
67,approve,abstract-positive,neutral-positive,7.0,1.85
68,argue,neutral-negative,neutral-neutral,3.15,2.75
69,arise,neutral-positive,neutral-neutral,6.17,3.17
70,arouse,neutral-positive,neutral-neutral,6.67,2.85
71,arrange,neutral-neutral,neutral-neutral,5.15,2.79
72,arrive,neutral-positive,neutral-neutral,6.41,3.22
73,articulate,neutral-positive,neutral-neutral,6.55,2.2
74,ascend,neutral-positive,neutral-neutral,6.19,2.66
75,ascertain,neutral-neutral,neutral-neutral,5.3,2.11
76,ask,neutral-neutral,neutral-neutral,5.95,2.52
77,aspire,abstract-positive,neutral-neutral,6.43,1.53
78,assassinate,neutral-negative,neutral-neutral,3.27,3.0
79,assemble,neutral-neutral,neutral-neutral,5.14,3.67
80,assert,neutral-neutral,neutral-neutral,5.68,2.03
81,assess,neutral-neutral,neutral-neutral,5.84,2.26
82,assign,neutral-neutral,neutral-neutral,4.75,2.86
83,assimilate,neutral-neutral,neutral-neutral,4.63,2.17
84,assist,neutral-neutral,neutral-neutral,5.95,2.52
85,assume,abstract-neutral,neutral-neutral,4.41,1.75
86,assure,neutral-positive,neutral-neutral,6.33,2.43
87,astonish,abstract-neutral,neutral-neutral,5.55,1.7
88,astound,abstract-positive,neutral-neutral,6.3,1.93
89,atone,abstract-neutral,neutral-neutral,5.6,1.88
90,attach,neutral-neutral,neutral-neutral,5.26,3.33
91,attain,neutral-neutral,neutral-neutral,5.85,2.18
92,attend,neutral-neutral,neutral-neutral,5.4,3.17
93,attest,abstract-neutral,neutral-neutral,5.1,1.89
94,attract,neutral-positive,neutral-neutral,6.38,2.73
95,attribute,neutral-neutral,neutral-neutral,5.67,2.33
96,authenticate,neutral-neutral,neutral-neutral,5.1,2.28
97,authorize,neutral-neutral,neutral-neutral,5.37,2.22
98,avail,abstract-neutral,abstract-neutral,5.42,1.33
99,avenge,neutral-neutral,neutral-neutral,4.05,2.07
100,avert,neutral-neutral,neutral-neutral,5.16,2.41
101,avoid,neutral-neutral,neutral-neutral,4.1,2.41
102,await,abstract-neutral,neutral-neutral,5.33,1.54
103,awaken,neutral-positive,neutral-neutral,6.05,3.45
104,babble,neutral-neutral,neutral-neutral,4.55,3.31
105,babysit,neutral-neutral,neutral-neutral,4.74,3.45
106,backfire,neutral-negative,neutral-neutral,3.0,2.86
107,backtrack,neutral-neutral,neutral-neutral,4.26,2.59
108,bake,concrete-positive,neutral-positive,7.2,4.21
109,bang,neutral-neutral,neutral-neutral,5.1,3.77
110,banish,neutral-negative,neutral-neutral,3.85,2.41
111,baptize,neutral-neutral,neutral-neutral,5.59,3.83
112,barf,concrete-negative,concrete-neutral,2.32,4.61
113,barge,concrete-neutral,concrete-neutral,5.44,4.66
114,barkeep,concrete-neutral,neutral-neutral,5.7,4.22
115,barter,neutral-neutral,neutral-neutral,5.64,2.96
116,bash,neutral-negative,neutral-neutral,3.68,3.52
117,bask,neutral-positive,neutral-neutral,6.37,3.03
118,bathe,concrete-positive,neutral-positive,7.5,4.19
119,bawl,neutral-negative,neutral-neutral,3.58,3.52
120,be,abstract-positive,neutral-neutral,6.18,1.85
121,beat,neutral-neutral,neutral-neutral,4.38,3.97
122,become,abstract-positive,neutral-neutral,6.32,1.54
123,befall,abstract-negative,neutral-neutral,3.91,1.72
124,befriend,neutral-positive,neutral-positive,7.14,2.36
125,beg,neutral-negative,neutral-neutral,3.72,2.96
126,begin,neutral-positive,neutral-neutral,6.44,2.56
127,begrudge,abstract-negative,neutral-neutral,3.95,1.89
128,behave,abstract-positive,neutral-neutral,6.25,1.78
129,behold,abstract-positive,neutral-neutral,6.48,1.67
130,belch,concrete-neutral,neutral-neutral,4.18,4.14
131,believe,abstract-positive,neutral-positive,7.05,1.55
132,belittle,neutral-negative,neutral-neutral,2.7,2.1
133,bellow,neutral-neutral,neutral-neutral,4.63,3.42
134,belong,abstract-positive,abstract-neutral,6.5,1.43
135,bend,neutral-neutral,neutral-neutral,5.75,3.88
136,bequeath,abstract-neutral,neutral-neutral,4.64,2.0
137,bestow,neutral-positive,neutral-neutral,6.5,2.07
138,bet,neutral-neutral,neutral-neutral,4.95,3.1
139,betray,neutral-negative,neutral-neutral,2.52,2.17
140,beware,abstract-negative,neutral-neutral,3.3,2.0
141,bicker,neutral-negative,neutral-neutral,2.81,3.15
142,bid,neutral-neutral,neutral-neutral,5.16,2.71
143,bide,abstract-neutral,neutral-neutral,4.5,1.73
144,bind,neutral-neutral,neutral-neutral,4.82,3.4
145,bite,concrete-negative,neutral-neutral,3.52,4.44
146,blab,neutral-negative,neutral-neutral,3.7,2.5
147,blacken,neutral-neutral,neutral-neutral,4.1,3.43
148,blackmail,neutral-negative,neutral-neutral,2.59,2.78
149,blame,neutral-negative,neutral-neutral,2.94,2.06
150,blastoff,neutral-positive,neutral-neutral,6.33,3.19
151,bleed,concrete-negative,neutral-neutral,2.47,4.4
152,blend,neutral-neutral,neutral-neutral,5.63,3.7
153,bless,neutral-positive,neutral-positive,7.0,2.68
154,blink,concrete-neutral,neutral-neutral,5.25,4.39
155,bloat,neutral-negative,neutral-neutral,3.4,3.04
156,bloom,neutral-positive,neutral-neutral,6.4,4.0
157,blot,neutral-neutral,neutral-neutral,4.37,3.44
158,blow,neutral-positive,neutral-neutral,6.1,3.74
159,bluejay,concrete-positive,concrete-neutral,6.64,4.97
160,blurt,neutral-neutral,neutral-neutral,4.9,3.17
161,boast,neutral-neutral,neutral-neutral,4.24,2.32
162,bode,abstract-neutral,neutral-neutral,4.71,1.88
163,boil,concrete-neutral,neutral-neutral,4.48,4.2
164,bop,neutral-neutral,neutral-neutral,5.63,3.63
165,born,neutral-positive,neutral-positive,7.33,3.22
166,borrow,neutral-neutral,neutral-neutral,5.18,3.1
167,bother,abstract-neutral,neutral-neutral,4.44,2.0
168,bounce,neutral-positive,neutral-neutral,6.1,3.86
169,bound,neutral-neutral,neutral-neutral,4.05,3.43
170,brace,neutral-neutral,neutral-neutral,4.85,3.96
171,brag,neutral-neutral,neutral-neutral,4.05,2.41
172,brainwash,neutral-negative,neutral-neutral,3.11,2.21
173,break,neutral-neutral,neutral-neutral,5.1,3.71
174,breathe,concrete-positive,neutral-positive,7.17,4.07
175,bribe,neutral-negative,neutral-neutral,3.32,3.44
176,brighten,neutral-positive,neutral-positive,7.37,3.41
177,bring,neutral-neutral,neutral-neutral,5.68,2.55
178,broaden,neutral-positive,neutral-neutral,6.39,2.3
179,broken,concrete-negative,neutral-neutral,2.75,4.11
180,brokenhearted,neutral-negative,neutral-neutral,2.47,2.56
181,browse,neutral-neutral,neutral-neutral,5.47,3.07
182,brush,concrete-neutral,concrete-neutral,5.47,4.54
183,buckle,concrete-neutral,concrete-neutral,5.05,4.71
184,budge,neutral-neutral,neutral-neutral,4.83,2.65
185,build,neutral-positive,neutral-neutral,6.33,3.71
