Word,Valence,Concreteness
Grief,Negative,Abstract
Anger,Negative,Abstract
Hatred,Negative,Abstract
Panic,Negative,Abstract
Fear,Negative,Abstract
Violence,Negative,Abstract
Anxiety,Negative,Abstract
Depression,Negative,Abstract
Suffering,Negative,Abstract
Conflict,Negative,Abstract
Terror,Negative,Abstract
Trauma,Negative,Abstract
Misery,Negative,Abstract
Regret,Negative,Abstract
Guilt,Negative,Abstract
Happiness,Positive,Abstract
Joy,Positive,Abstract
Gratitude,Positive,Abstract
Compassion,Positive,Abstract
Peace,Positive,Abstract
Love,Positive,Abstract
Success,Positive,Abstract
Inspiration,Positive,Abstract
Fulfillment,Positive,Abstract
Bliss,Positive,Abstract
Confidence,Positive,Abstract
Hope,Positive,Abstract
Triumph,Positive,Abstract
Car,Negative,Concrete
War,Negative,Concrete
Knife,Negative,Concrete
Fire,Negative,Concrete
Gun,Negative,Concrete
Disaster,Negative,Concrete
Bomb,Negative,Concrete
House,Positive,Concrete
Flower,Positive,Concrete
Tree,Positive,Concrete
Cat,Positive,Concrete
Ocean,Positive,Concrete
