Word,Valence,Concreteness,F_value,J_value
Grief,Negative,Abstract,abstract,concrete
Anger,Negative,Abstract,abstract,concrete
Hatred,Negative,Abstract,abstract,concrete
Panic,Negative,Abstract,abstract,concrete
Fear,Negative,Abstract,abstract,concrete
Violence,Negative,Abstract,abstract,concrete
Anxiety,Negative,Abstract,abstract,concrete
Depression,Negative,Abstract,abstract,concrete
Suffering,Negative,Abstract,abstract,concrete
Conflict,Negative,Abstract,abstract,concrete
Terror,Negative,Abstract,abstract,concrete
Trauma,Negative,Abstract,abstract,concrete
Misery,Negative,Abstract,abstract,concrete
Regret,Negative,Abstract,abstract,concrete
Guilt,Negative,Abstract,abstract,concrete
Happiness,Positive,Abstract,abstract,concrete
Joy,Positive,Abstract,abstract,concrete
Gratitude,Positive,Abstract,abstract,concrete
Compassion,Positive,Abstract,abstract,concrete
Peace,Positive,Abstract,abstract,concrete
Love,Positive,Abstract,abstract,concrete
Success,Positive,Abstract,abstract,concrete
Inspiration,Positive,Abstract,abstract,concrete
Fulfillment,Positive,Abstract,abstract,concrete
Bliss,Positive,Abstract,abstract,concrete
Confidence,Positive,Abstract,abstract,concrete
Hope,Positive,Abstract,abstract,concrete
Triumph,Positive,Abstract,abstract,concrete
Car,Negative,Concrete,abstract,concrete
War,Negative,Concrete,abstract,concrete
Knife,Negative,Concrete,abstract,concrete
Fire,Negative,Concrete,abstract,concrete
Gun,Negative,Concrete,abstract,concrete
Disaster,Negative,Concrete,abstract,concrete
Bomb,Negative,Concrete,abstract,concrete
House,Positive,Concrete,abstract,concrete
Flower,Positive,Concrete,abstract,concrete
Tree,Positive,Concrete,abstract,concrete
Cat,Positive,Concrete,abstract,concrete
Ocean,Positive,Concrete,abstract,concrete
