level_0,index,Word,V.Mean.Sum,Conc.M,ConcValCombo_moderate
0,468.0,disown,2.29,1.56,abstract-negative
1,714.0,hate,1.96,1.97,abstract-negative
2,1083.0,profane,2.47,1.75,abstract-negative
3,390.0,degrade,2.62,1.64,abstract-negative
4,474.0,displease,2.63,1.71,abstract-negative
5,488.0,distrust,2.95,1.44,abstract-negative
6,54.0,annoy,2.49,1.93,abstract-negative
7,1640.0,violate,2.61,1.88,abstract-negative
8,284.0,condemn,2.62,1.96,abstract-negative
9,819.0,intimidate,2.84,1.75,abstract-negative
0,848.0,kiss,7.78,4.48,concrete-positive
1,1370.0,sing,7.5,4.34,concrete-positive
2,855.0,laugh,7.56,4.21,concrete-positive
3,118.0,bathe,7.5,4.19,concrete-positive
4,1381.0,sleep,7.22,4.44,concrete-positive
5,358.0,dance,7.27,4.32,concrete-positive
6,1392.0,smooch,7.35,4.21,concrete-positive
7,516.0,eat,7.1,4.44,concrete-positive
8,1521.0,swing,6.95,4.54,concrete-positive
9,328.0,cook,7.12,4.32,concrete-positive
0,0.0,hope,7.48,1.25,concrete-positive
1,1.0,inspire,7.42,1.74,concrete-positive
2,2.0,enlighten,7.38,1.48,concrete-positive
3,3.0,imagine,7.2,1.53,concrete-positive
4,4.0,believe,7.05,1.55,concrete-positive
5,5.0,fascinate,7.0,1.75,concrete-positive
6,6.0,zing,6.95,1.23,concrete-positive
7,7.0,inspired,6.89,1.55,concrete-positive
8,8.0,know,6.82,1.68,concrete-positive
9,9.0,deserve,6.77,1.69,concrete-positive
0,,vomit,1.98,4.75,concrete-negative
1,,piss,2.73,4.73,concrete-negative
2,,slap,2.95,4.72,concrete-negative
3,,spit,3.0,4.71,concrete-negative
5,,barf,2.32,4.61,concrete-negative
6,,puke,1.84,4.59,concrete-negative
7,,tear,3.14,4.56,concrete-negative
8,,weep,2.88,4.54,concrete-negative
9,,ditch,3.2,4.5,concrete-negative
10,,bleed,2.47,4.4,concrete-negative
