"","ID.true","Word","Label","Task","BlockOrder","EventTime","Value","ReactionTime","Key_value_F","Key_value_J","Comments","Group","LogReactionTime","TrialNumber"
"1","5ddcbca2798297c203d13723","whistle","calibrator_conc_feedback","Concrete","CV",1739204253331,"concrete",1037,"abstract","concrete","abstract;concrete","B",6.94408720822953,1
"2","5ddcbca2798297c203d13723","kick","calibrator_conc_feedback","Concrete","CV",1739204256282,"concrete",1217,"abstract","concrete","abstract;concrete","B",7.10414409298753,2
"3","5ddcbca2798297c203d13723","gas","calibrator_conc_feedback","Concrete","CV",1739204260251,"concrete",1209,"abstract","concrete","abstract;concrete","B",7.09754885061479,3
"4","5ddcbca2798297c203d13723","insecure","calibrator_conc_feedback","Concrete","CV",1739204263891,"abstract",885,"abstract","concrete","abstract;concrete","B",6.78558764500793,4
"5","5ddcbca2798297c203d13723","polite","calibrator_conc_feedback","Concrete","CV",1739204268146,"abstract",1496,"abstract","concrete","abstract;concrete","B",7.31055015853442,5
"6","5ddcbca2798297c203d13723","grasshopper","calibrator_conc_feedback","Concrete","CV",1739204271970,"concrete",1066,"abstract","concrete","abstract;concrete","B",6.97166860472579,6
"7","5ddcbca2798297c203d13723","marriage","calibrator_conc_feedback","Concrete","CV",1739204275595,"concrete",866,"abstract","concrete","abstract;concrete","B",6.76388490856244,7
"8","5ddcbca2798297c203d13723","theory","calibrator_conc_feedback","Concrete","CV",1739204280155,"abstract",1804,"abstract","concrete","abstract;concrete","B",7.49776170062257,8
"9","5ddcbca2798297c203d13723","shirt","calibrator_conc_feedback","Concrete","CV",1739204283667,"concrete",752,"abstract","concrete","abstract;concrete","B",6.62273632394984,9
"10","5ddcbca2798297c203d13723","sugar","calibrator_conc_feedback","Concrete","CV",1739204287259,"concrete",833,"abstract","concrete","abstract;concrete","B",6.72503364216684,10
"11","5ddcbca2798297c203d13723","gas","calibrator_conc_no_feedback","Concrete","CV",1739204290922,"concrete",906,"B","abstract;concrete","","",6.80903930604298,11
"12","5ddcbca2798297c203d13723","grasshopper","calibrator_conc_no_feedback","Concrete","CV",1739204292491,"concrete",811,"B","abstract;concrete","","",6.69826805411541,12
"13","5ddcbca2798297c203d13723","marriage","calibrator_conc_no_feedback","Concrete","CV",1739204294146,"concrete",904,"B","abstract;concrete","","",6.80682936039218,13
"14","5ddcbca2798297c203d13723","kick","calibrator_conc_no_feedback","Concrete","CV",1739204295731,"concrete",826,"B","abstract;concrete","","",6.71659477352098,14
"15","5ddcbca2798297c203d13723","theory","calibrator_conc_no_feedback","Concrete","CV",1739204297171,"abstract",680,"B","abstract;concrete","","",6.52209279817015,15
"16","5ddcbca2798297c203d13723","sugar","calibrator_conc_no_feedback","Concrete","CV",1739204298699,"concrete",771,"B","abstract;concrete","","",6.64768837356333,16
"17","5ddcbca2798297c203d13723","whistle","calibrator_conc_no_feedback","Concrete","CV",1739204300386,"concrete",932,"B","abstract;concrete","","",6.83733281468559,17
