"","X","ID.true","Word","Label","ConcValCombo","Task","Group","Response","Accuracy","EventTime","Value","RT","ReactionTime","Key_value_F","Key_value_J","Comments","LogReactionTime","LogRT","TrialNumber","ResponseCorrected","ConcValCorrected"
"1",1,"5fb9eb323531776e460fe5e0","bathe","test","abstract-positive","Valence","positive","positive",1,1727876663724,"positive",2851,2083,"abstract-positive","negative","negative;positive",7.64156444126097,7.95542508891267,1,"positive","concrete-positive"
"2",2,"5fb9eb323531776e460fe5e0","justify","test","concrete-positive","Valence","positive","negative",0,1727876666349,"negative",2623,1865,"concrete-positive","negative","negative;positive",7.53101633207792,7.87207397986687,2,"negative","abstract-positive"
"3",3,"5fb9eb323531776e460fe5e0","disappoint","test","concrete-negative","Valence","positive","negative",1,1727876668011,"negative",1658,903,"concrete-negative","negative","negative;positive",6.80572255341699,7.41336733569524,3,"negative","abstract-negative"
"4",4,"5fb9eb323531776e460fe5e0","fall","test","abstract-negative","Valence","positive","negative",1,1727876669891,"negative",1877,1115,"abstract-negative","negative","negative;positive",7.01660968389422,7.53743003658651,4,"negative","concrete-negative"
"5",5,"5fb9eb323531776e460fe5e0","lick","test","abstract-positive","Valence","positive","positive",1,1727876672324,"positive",2431,1668,"abstract-positive","negative","negative;positive",7.41938058291869,7.79605797431612,5,"positive","concrete-positive"
"6",6,"5fb9eb323531776e460fe5e0","whip","test","abstract-negative","Valence","positive","negative",1,1727876674790,"negative",2464,1693,"abstract-negative","negative","negative;positive",7.43425738213314,7.80954132465341,6,"negative","concrete-negative"
"7",7,"5fb9eb323531776e460fe5e0","sail","test","abstract-positive","Valence","positive","positive",1,1727876677299,"positive",2507,1744,"abstract-positive","negative","negative;positive",7.46393660446893,7.82684209815829,7,"positive","concrete-positive"
"8",8,"5fb9eb323531776e460fe5e0","snore","test","abstract-negative","Valence","positive","negative",1,1727876679118,"negative",1817,1044,"abstract-negative","negative","negative;positive",6.95081476844258,7.50494206839617,8,"negative","concrete-negative"
"9",9,"5fb9eb323531776e460fe5e0","forgive","test","concrete-positive","Valence","positive","positive",1,1727876682155,"positive",3035,2277,"concrete-positive","negative","negative;positive",7.73061406606374,8.0179667034936,9,"positive","abstract-positive"
"10",10,"5fb9eb323531776e460fe5e0","drool","test","abstract-negative","Valence","positive","negative",1,1727876684114,"negative",1953,1186,"abstract-negative","negative","negative;positive",7.07834157955767,7.57712193087668,10,"negative","concrete-negative"
"11",11,"5fb9eb323531776e460fe5e0","laugh","test","abstract-positive","Valence","positive","positive",1,1727876685532,"positive",1415,658,"abstract-positive","negative","negative;positive",6.48920493132532,7.25488481007734,11,"positive","concrete-positive"
"12",12,"5fb9eb323531776e460fe5e0","hurl","test","abstract-negative","Valence","positive","negative",1,1727876687556,"negative",2020,1254,"abstract-negative","negative","negative;positive",7.13409372119287,7.61085279039525,12,"negative","concrete-negative"
"13",13,"5fb9eb323531776e460fe5e0","sing","test","abstract-positive","Valence","positive","positive",1,1727876689281,"positive",1721,959,"abstract-positive","negative","negative;positive",6.86589107488344,7.45066079621154,13,"positive","concrete-positive"
"14",14,"5fb9eb323531776e460fe5e0","running","test","abstract-positive","Valence","positive","negative",0,1727876691362,"negative",2079,1310,"abstract-positive","negative","negative;positive",7.1777824161952,7.63964228785801,14,"negative","concrete-positive"
"15",15,"5fb9eb323531776e460fe5e0","distrust","test","concrete-negative","Valence","positive","negative",1,1727876693344,"negative",1979,1220,"concrete-negative","negative","negative;positive",7.1066061377273,7.59034694560257,15,"negative","abstract-negative"
"16",16,"5fb9eb323531776e460fe5e0","discourage","test","concrete-negative","Valence","positive","negative",1,1727876694841,"negative",1493,722,"concrete-negative","negative","negative;positive",6.58202513889283,7.30854279753919,16,"negative","abstract-negative"
"17",17,"5fb9eb323531776e460fe5e0","talk","test","abstract-positive","Valence","positive","positive",1,1727876696425,"positive",1582,810,"abstract-positive","negative","negative;positive",6.69703424766648,7.3664451483276,17,"positive","concrete-positive"
"18",18,"5fb9eb323531776e460fe5e0","check","test","abstract-positive","Valence","positive","positive",1,1727876698689,"positive",2260,1498,"abstract-positive","negative","negative;positive",7.31188616407716,7.72312009226633,18,"positive","concrete-positive"
"19",19,"5fb9eb323531776e460fe5e0","wish","test","concrete-positive","Valence","positive","positive",1,1727876700714,"positive",2024,1258,"concrete-positive","negative","negative;positive",7.13727843726039,7.61283103040736,19,"positive","abstract-positive"
"20",20,"5fb9eb323531776e460fe5e0","meth","test","abstract-negative","Valence","positive","negative",1,1727876702654,"negative",1936,1172,"abstract-negative","negative","negative;positive",7.06646697013696,7.56837926783652,20,"negative","concrete-negative"
"21",21,"5fb9eb323531776e460fe5e0","caress","test","abstract-positive","Valence","positive","positive",1,1727876704640,"positive",1984,1220,"abstract-positive","negative","negative;positive",7.1066061377273,7.59287028784482,21,"positive","concrete-positive"
"22",22,"5fb9eb323531776e460fe5e0","frown","test","abstract-negative","Valence","positive","negative",1,1727876706276,"negative",1634,879,"abstract-negative","negative","negative;positive",6.77878489768518,7.39878627541995,22,"negative","concrete-negative"
"23",23,"5fb9eb323531776e460fe5e0","befall","test","concrete-negative","Valence","positive","negative",1,1727876708320,"negative",2042,1281,"concrete-negative","negative","negative;positive",7.15539630189673,7.62168499872461,23,"negative","abstract-negative"
"24",24,"5fb9eb323531776e460fe5e0","violate","test","concrete-negative","Valence","positive","negative",1,1727876709919,"negative",1596,825,"concrete-negative","negative","negative;positive",6.71538338633468,7.37525577800975,24,"negative","abstract-negative"
"25",25,"5fb9eb323531776e460fe5e0","envy","test","concrete-negative","Valence","positive","positive",0,1727876711482,"positive",1560,803,"concrete-negative","negative","negative;positive",6.68835471394676,7.35244110024358,25,"positive","abstract-negative"
"26",26,"5fb9eb323531776e460fe5e0","exploit","test","concrete-negative","Valence","positive","negative",1,1727876713361,"negative",1876,1109,"concrete-negative","negative","negative;positive",7.01121398735037,7.53689712956617,26,"negative","abstract-negative"
"27",27,"5fb9eb323531776e460fe5e0","consider","test","concrete-positive","Valence","positive","positive",1,1727876715347,"positive",1983,1228,"concrete-positive","negative","negative;positive",7.11314210870709,7.5923661285198,27,"positive","abstract-positive"
"28",28,"5fb9eb323531776e460fe5e0","beware","test","concrete-negative","Valence","positive","negative",1,1727876716843,"negative",1494,725,"concrete-negative","negative","negative;positive",6.58617165485467,7.30921236569276,28,"negative","abstract-negative"
"29",29,"5fb9eb323531776e460fe5e0","breathe","test","abstract-positive","Valence","positive","positive",1,1727876718425,"positive",1579,820,"abstract-positive","negative","negative;positive",6.7093043402583,7.36454701425564,29,"positive","concrete-positive"
"30",30,"5fb9eb323531776e460fe5e0","presume","test","concrete-negative","Valence","positive","negative",1,1727876721273,"negative",2845,2083,"concrete-negative","negative","negative;positive",7.64156444126097,7.95331834656043,30,"negative","abstract-negative"
"31",31,"5fb9eb323531776e460fe5e0","improve","test","concrete-positive","Valence","positive","positive",1,1727876722937,"positive",1661,902,"concrete-positive","negative","negative;positive",6.80461452006262,7.41517510961329,31,"positive","abstract-positive"
"32",32,"5fb9eb323531776e460fe5e0","behold","test","concrete-positive","Valence","positive","positive",1,1727876725424,"positive",2485,1715,"concrete-positive","negative","negative;positive",7.44716835960004,7.81802793853073,32,"positive","abstract-positive"
"33",33,"5fb9eb323531776e460fe5e0","smack","test","abstract-negative","Valence","positive","negative",1,1727876727020,"negative",1594,822,"abstract-negative","negative","negative;positive",6.71174039505618,7.37400185935016,33,"negative","concrete-negative"
"34",34,"5fb9eb323531776e460fe5e0","impose","test","concrete-negative","Valence","positive","negative",1,1727876729286,"negative",2263,1496,"concrete-negative","negative","negative;positive",7.31055015853442,7.72444664563354,34,"negative","abstract-negative"
"35",35,"5fb9eb323531776e460fe5e0","qualify","test","concrete-positive","Valence","positive","positive",1,1727876731252,"positive",1963,1193,"concrete-positive","negative","negative;positive",7.08422642209792,7.58222919427646,35,"positive","abstract-positive"
"36",36,"5fb9eb323531776e460fe5e0","crank","test","abstract-negative","Valence","positive","negative",1,1727876733188,"negative",1934,1168,"abstract-negative","negative","negative;positive",7.06304816338817,7.56734567601324,36,"negative","concrete-negative"
"37",37,"5fb9eb323531776e460fe5e0","hope","test","concrete-positive","Valence","positive","positive",1,1727876734693,"positive",1504,746,"concrete-positive","negative","negative;positive",6.61472560020376,7.31588350450979,37,"positive","abstract-positive"
"38",38,"5fb9eb323531776e460fe5e0","specialize","test","concrete-positive","Valence","positive","positive",1,1727876736351,"positive",1656,892,"concrete-positive","negative","negative;positive",6.79346613258001,7.4121603349452,38,"positive","abstract-positive"
"39",39,"5fb9eb323531776e460fe5e0","crushed","test","abstract-negative","Valence","positive","negative",1,1727876738614,"negative",2260,1491,"abstract-negative","negative","negative;positive",7.30720231476474,7.72312009226633,39,"negative","concrete-negative"
"40",40,"5fb9eb323531776e460fe5e0","feeling","test","concrete-positive","Valence","positive","positive",1,1727876740457,"positive",1839,1076,"concrete-positive","negative","negative;positive",6.98100574072173,7.51697722460432,40,"positive","abstract-positive"
"41",41,"5c205371da51990001e17313","feeling","test","concrete-positive","Valence","positive","positive",1,1727875885400,"positive",1796,1038,"concrete-positive","negative","negative;positive",6.94505106372583,7.49331724886215,1,"positive","abstract-positive"
"42",42,"5c205371da51990001e17313","caress","test","abstract-positive","Valence","positive","positive",1,1727875886952,"positive",1546,789,"abstract-positive","negative","negative;positive",6.67076632084587,7.34342622914737,2,"positive","concrete-positive"
"43",43,"5c205371da51990001e17313","crushed","test","abstract-negative","Valence","positive","negative",1,1727875888375,"negative",1417,658,"abstract-negative","negative","negative;positive",6.48920493132532,7.25629723969068,3,"negative","concrete-negative"
"44",44,"5c205371da51990001e17313","drool","test","abstract-negative","Valence","positive","negative",1,1727875889719,"negative",1338,585,"abstract-negative","negative","negative;positive",6.37161184723186,7.19893124068817,4,"negative","concrete-negative"
"45",45,"5c205371da51990001e17313","frown","test","abstract-negative","Valence","positive","negative",1,1727875890975,"negative",1250,487,"abstract-negative","negative","negative;positive",6.18826412308259,7.13089883029635,5,"negative","concrete-negative"
"46",46,"5c205371da51990001e17313","behold","test","concrete-positive","Valence","positive","positive",1,1727875892895,"positive",1914,1149,"concrete-positive","negative","negative;positive",7.04664727784876,7.5569505720129,6,"positive","abstract-positive"
"47",47,"5c205371da51990001e17313","consider","test","concrete-positive","Valence","positive","positive",1,1727875896204,"positive",3303,2545,"concrete-positive","negative","negative;positive",7.84188592898462,8.10258642539079,7,"positive","abstract-positive"
"48",48,"5c205371da51990001e17313","hurl","test","abstract-negative","Valence","positive","negative",1,1727875898133,"negative",1923,1166,"abstract-negative","negative","negative;positive",7.06133436691044,7.56164174558878,8,"negative","concrete-negative"
"49",49,"5c205371da51990001e17313","bathe","test","abstract-positive","Valence","positive","positive",1,1727875899633,"positive",1495,729,"abstract-positive","negative","negative;positive",6.59167373200866,7.30988148582479,9,"positive","concrete-positive"
"50",50,"5c205371da51990001e17313","violate","test","concrete-negative","Valence","positive","negative",1,1727875901115,"negative",1476,711,"concrete-negative","negative","negative;positive",6.56667242980324,7.29709100516042,10,"negative","abstract-negative"
"51",51,"5c205371da51990001e17313","lick","test","abstract-positive","Valence","positive","negative",0,1727875902677,"negative",1556,799,"abstract-positive","negative","negative;positive",6.68336094576627,7.34987370473834,11,"negative","concrete-positive"
"52",52,"5c205371da51990001e17313","envy","test","concrete-negative","Valence","positive","negative",1,1727875904147,"negative",1462.5,699,"concrete-negative","negative","negative;positive",6.54965074223381,7.28790257910601,12,"negative","abstract-negative"
"53",53,"5c205371da51990001e17313","disappoint","test","concrete-negative","Valence","positive","negative",1,1727875905571,"negative",1417,656,"concrete-negative","negative","negative;positive",6.48616078894409,7.25629723969068,13,"negative","abstract-negative"
"54",54,"5c205371da51990001e17313","hope","test","concrete-positive","Valence","positive","positive",1,1727875907037,"positive",1460,703,"concrete-positive","negative","negative;positive",6.55535689181067,7.28619171470238,14,"positive","abstract-positive"
"55",55,"5c205371da51990001e17313","befall","test","concrete-negative","Valence","positive","negative",1,1727875908525,"negative",1482,725,"concrete-negative","negative","negative;positive",6.58617165485467,7.30114780585603,15,"negative","abstract-negative"
"56",56,"5c205371da51990001e17313","laugh","test","abstract-positive","Valence","positive","positive",1,1727875909750,"positive",1219,465,"abstract-positive","negative","negative;positive",6.14203740558736,7.10578612948127,16,"positive","concrete-positive"
"57",57,"5c205371da51990001e17313","fall","test","abstract-negative","Valence","positive","negative",1,1727875911094,"negative",1338,582,"abstract-negative","negative","negative;positive",6.36647044773144,7.19893124068817,17,"negative","concrete-negative"
"58",58,"5c205371da51990001e17313","check","test","abstract-positive","Valence","positive","positive",1,1727875912718,"positive",1618,856,"abstract-positive","negative","negative;positive",6.75227037614174,7.38894609761844,18,"positive","concrete-positive"
"59",59,"5c205371da51990001e17313","beware","test","concrete-negative","Valence","positive","negative",1,1727875914059,"negative",1335,571,"concrete-negative","negative","negative;positive",6.34738920965601,7.19668657083435,19,"negative","abstract-negative"
