ConcValCombo_Intuitive,Word,Task,F_value,J_value,Group
concrete-positive,kiss,Concrete,abstract,concrete,A
concrete-positive,hug,Concrete,abstract,concrete,A
concrete-positive,cuddle,Concrete,abstract,concrete,A
concrete-positive,build,Concrete,abstract,concrete,A
concrete-positive,repair,Concrete,abstract,concrete,A
concrete-positive,decorate,Concrete,abstract,concrete,A
concrete-positive,improve,Concrete,abstract,concrete,A
concrete-positive,embellish,Concrete,abstract,concrete,A
concrete-positive,heal,Concrete,abstract,concrete,A
concrete-positive,adorn,Concrete,abstract,concrete,A
concrete-negative,destroy,Concrete,abstract,concrete,A
concrete-negative,murder,Concrete,abstract,concrete,A
concrete-negative,slaughter,Concrete,abstract,concrete,A
concrete-negative,break,Concrete,abstract,concrete,A
concrete-negative,kill,Concrete,abstract,concrete,A
concrete-negative,spit,Concrete,abstract,concrete,A
concrete-negative,vomit,Concrete,abstract,concrete,A
concrete-negative,pollute,Concrete,abstract,concrete,A
concrete-negative,stab,Concrete,abstract,concrete,A
concrete-negative,infect,Concrete,abstract,concrete,A
abstract-positive,love,Concrete,abstract,concrete,A
abstract-positive,encourage,Concrete,abstract,concrete,A
abstract-positive,care,Concrete,abstract,concrete,A
abstract-positive,enjoy,Concrete,abstract,concrete,A
abstract-positive,respect,Concrete,abstract,concrete,A
abstract-positive,praise,Concrete,abstract,concrete,A
abstract-positive,admire,Concrete,abstract,concrete,A
abstract-positive,cherish,Concrete,abstract,concrete,A
abstract-positive,adore,Concrete,abstract,concrete,A
abstract-positive,esteem,Concrete,abstract,concrete,A
abstract-negative,criticize,Concrete,abstract,concrete,A
abstract-negative,hate,Concrete,abstract,concrete,A
abstract-negative,dislike,Concrete,abstract,concrete,A
abstract-negative,loathe,Concrete,abstract,concrete,A
abstract-negative,scorn,Concrete,abstract,concrete,A
abstract-negative,despise,Concrete,abstract,concrete,A
abstract-negative,abhor,Concrete,abstract,concrete,A
abstract-negative,mourn,Concrete,abstract,concrete,A
abstract-negative,distrust,Concrete,abstract,concrete,A
abstract-negative,irritate,Concrete,abstract,concrete,A
concrete-positive,kiss,Concrete,concrete,abstract,B
concrete-positive,hug,Concrete,concrete,abstract,B
concrete-positive,cuddle,Concrete,concrete,abstract,B
concrete-positive,build,Concrete,concrete,abstract,B
concrete-positive,repair,Concrete,concrete,abstract,B
concrete-positive,decorate,Concrete,concrete,abstract,B
concrete-positive,improve,Concrete,concrete,abstract,B
concrete-positive,embellish,Concrete,concrete,abstract,B
concrete-positive,heal,Concrete,concrete,abstract,B
concrete-positive,adorn,Concrete,concrete,abstract,B
concrete-negative,destroy,Concrete,concrete,abstract,B
concrete-negative,murder,Concrete,concrete,abstract,B
concrete-negative,slaughter,Concrete,concrete,abstract,B
concrete-negative,break,Concrete,concrete,abstract,B
concrete-negative,kill,Concrete,concrete,abstract,B
concrete-negative,spit,Concrete,concrete,abstract,B
concrete-negative,vomit,Concrete,concrete,abstract,B
concrete-negative,pollute,Concrete,concrete,abstract,B
concrete-negative,stab,Concrete,concrete,abstract,B
concrete-negative,infect,Concrete,concrete,abstract,B
abstract-positive,love,Concrete,concrete,abstract,B
abstract-positive,encourage,Concrete,concrete,abstract,B
abstract-positive,care,Concrete,concrete,abstract,B
abstract-positive,enjoy,Concrete,concrete,abstract,B
abstract-positive,respect,Concrete,concrete,abstract,B
abstract-positive,praise,Concrete,concrete,abstract,B
abstract-positive,admire,Concrete,concrete,abstract,B
abstract-positive,cherish,Concrete,concrete,abstract,B
abstract-positive,adore,Concrete,concrete,abstract,B
abstract-positive,esteem,Concrete,concrete,abstract,B
abstract-negative,criticize,Concrete,concrete,abstract,B
abstract-negative,hate,Concrete,concrete,abstract,B
abstract-negative,dislike,Concrete,concrete,abstract,B
abstract-negative,loathe,Concrete,concrete,abstract,B
abstract-negative,scorn,Concrete,concrete,abstract,B
abstract-negative,despise,Concrete,concrete,abstract,B
abstract-negative,abhor,Concrete,concrete,abstract,B
abstract-negative,mourn,Concrete,concrete,abstract,B
abstract-negative,distrust,Concrete,concrete,abstract,B
abstract-negative,irritate,Concrete,concrete,abstract,B
