Word	Estimated % Abstract	Estimated % Concrete
love	95%	5%
inspire	90%	10%
motivate	85%	15%
empower	80%	20%
support	85%	15%
achieve	80%	20%
nurture	78%	22%
celebrate	75%	25%
engage	80%	20%
explore	70%	30%
create	85%	15%
facilitate	78%	22%
unite	85%	15%
thrive	82%	18%
bless	85%	15%
adore	90%	10%
succeed	78%	22%
joy	90%	10%
hope	95%	5%
sorrow	95%	5%
trust	90%	10%
kill	5%	95%
destroy	10%	90%
hurt	7%	93%
scold	12%	88%
offend	15%	85%
reject	10%	90%
choke	5%	95%
fail	10%	90%
neglect	15%	85%
torment	8%	92%
terrorize	5%	95%
burden	10%	90%
suffer	15%	85%
ruin	10%	90%
deceive	8%	92%
embarrass	15%	85%
chase	20%	80%
talk	25%	75%
laugh	20%	80%
cry	25%	75%
