Word	Concrete %	Abstract %
disown	20%	80%
hate	10%	90%
profane	20%	80%
degrade	20%	80%
displease	20%	80%
distrust	30%	70%
annoy	40%	60%
violate	30%	70%
condemn	20%	80%
intimidate	30%	70%
kiss	90%	10%
sing	85%	15%
laugh	85%	15%
bathe	90%	10%
sleep	90%	10%
dance	85%	15%
smooch	90%	10%
eat	90%	10%
swing	85%	15%
cook	90%	10%
hope	10%	90%
inspire	10%	90%
enlighten	10%	90%
imagine	20%	80%
believe	20%	80%
fascinate	30%	70%
zing	50%	50%
inspired	20%	80%
know	20%	80%
deserve	30%	70%
vomit	95%	5%
piss	95%	5%
slap	90%	10%
spit	90%	10%
barf	95%	5%
puke	95%	5%
tear	80%	20%
weep	75%	25%
ditch	75%	25%
bleed	90%	10%
