Word	Positive %	Negative %
disown	5%	95%
hate	0%	100%
profane	10%	90%
degrade	5%	95%
displease	5%	95%
distrust	10%	90%
annoy	10%	90%
violate	5%	95%
condemn	10%	90%
intimidate	5%	95%
kiss	90%	10%
sing	85%	15%
laugh	90%	10%
bathe	80%	20%
sleep	85%	15%
dance	85%	15%
smooch	80%	20%
eat	75%	25%
swing	85%	15%
cook	80%	20%
hope	90%	10%
inspire	95%	5%
enlighten	90%	10%
imagine	85%	15%
believe	85%	15%
fascinate	85%	15%
zing	70%	30%
inspired	95%	5%
know	85%	15%
deserve	60%	40%
vomit	5%	95%
piss	5%	95%
slap	10%	90%
spit	10%	90%
barf	5%	95%
puke	5%	95%
tear	20%	80%
weep	20%	80%
ditch	15%	85%
bleed	10%	90%
