"","X","ID.true","Word","Label","ConcValCombo","Task","Group","Response","Accuracy","EventTime","Value","RT","ReactionTime","Key_value_F","Key_value_J","Comments","LogReactionTime","LogRT","TrialNumber","Version","WhoseList","X.1","BlockOrder","Switch","Response.n","CorrectedResponse","Difference","Concrete","Valence","MeanAccuracy"
"1",7,"5fb9eb323531776e460fe5e0","sail","test","abstract-positive","Valence","positive","positive",1,1727876677299,"positive",2507,1744,"abstract-positive","negative","negative;positive",7.46393660446893,7.82684209815829,7,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.1,0.85,0.95,0.9
"2",14,"5fb9eb323531776e460fe5e0","running","test","abstract-positive","Valence","positive","negative",0,1727876691362,"negative",2079,1310,"abstract-positive","negative","negative;positive",7.1777824161952,7.63964228785801,14,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0,0.9,0.9,0.9
"3",15,"5fb9eb323531776e460fe5e0","distrust","test","concrete-negative","Valence","positive","negative",1,1727876693344,"negative",1979,1220,"concrete-negative","negative","negative;positive",7.1066061377273,7.59034694560257,15,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0326446280991735,0.95,0.917355371900826,0.933677685950413
"4",16,"5fb9eb323531776e460fe5e0","discourage","test","concrete-negative","Valence","positive","negative",1,1727876694841,"negative",1493,722,"concrete-negative","negative","negative;positive",6.58202513889283,7.30854279753919,16,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0499999999999999,0.95,0.9,0.925
"5",26,"5fb9eb323531776e460fe5e0","exploit","test","concrete-negative","Valence","positive","negative",1,1727876713361,"negative",1876,1109,"concrete-negative","negative","negative;positive",7.01121398735037,7.53689712956617,26,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.1,0.85,0.95,0.9
"6",27,"5fb9eb323531776e460fe5e0","consider","test","concrete-positive","Valence","positive","positive",1,1727876715347,"positive",1983,1228,"concrete-positive","negative","negative;positive",7.11314210870709,7.5923661285198,27,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0,0.9,0.9,0.9
"7",28,"5fb9eb323531776e460fe5e0","beware","test","concrete-negative","Valence","positive","negative",1,1727876716843,"negative",1494,725,"concrete-negative","negative","negative;positive",6.58617165485467,7.30921236569276,28,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.05,0.9,0.85,0.875
"8",32,"5fb9eb323531776e460fe5e0","behold","test","concrete-positive","Valence","positive","positive",1,1727876725424,"positive",2485,1715,"concrete-positive","negative","negative;positive",7.44716835960004,7.81802793853073,32,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.15,0.8,0.95,0.875
"9",35,"5fb9eb323531776e460fe5e0","qualify","test","concrete-positive","Valence","positive","positive",1,1727876731252,"positive",1963,1193,"concrete-positive","negative","negative;positive",7.08422642209792,7.58222919427646,35,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0499999999999999,0.9,0.95,0.925
"10",37,"5fb9eb323531776e460fe5e0","hope","test","concrete-positive","Valence","positive","positive",1,1727876734693,"positive",1504,746,"concrete-positive","negative","negative;positive",6.61472560020376,7.31588350450979,37,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0475409836065575,0.9,0.852459016393443,0.876229508196721
"11",40,"5fb9eb323531776e460fe5e0","feeling","test","concrete-positive","Valence","positive","positive",1,1727876740457,"positive",1839,1076,"concrete-positive","negative","negative;positive",6.98100574072173,7.51697722460432,40,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.15,0.8,0.95,0.875
"12",41,"5c205371da51990001e17313","feeling","test","concrete-positive","Valence","positive","positive",1,1727875885400,"positive",1796,1038,"concrete-positive","negative","negative;positive",6.94505106372583,7.49331724886215,1,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.15,0.8,0.95,0.875
"13",46,"5c205371da51990001e17313","behold","test","concrete-positive","Valence","positive","positive",1,1727875892895,"positive",1914,1149,"concrete-positive","negative","negative;positive",7.04664727784876,7.5569505720129,6,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.15,0.8,0.95,0.875
"14",47,"5c205371da51990001e17313","consider","test","concrete-positive","Valence","positive","positive",1,1727875896204,"positive",3303,2545,"concrete-positive","negative","negative;positive",7.84188592898462,8.10258642539079,7,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0,0.9,0.9,0.9
"15",54,"5c205371da51990001e17313","hope","test","concrete-positive","Valence","positive","positive",1,1727875907037,"positive",1460,703,"concrete-positive","negative","negative;positive",6.55535689181067,7.28619171470238,14,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0475409836065575,0.9,0.852459016393443,0.876229508196721
"16",59,"5c205371da51990001e17313","beware","test","concrete-negative","Valence","positive","negative",1,1727875914059,"negative",1335,571,"concrete-negative","negative","negative;positive",6.34738920965601,7.19668657083435,19,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.05,0.9,0.85,0.875
"17",62,"5c205371da51990001e17313","exploit","test","concrete-negative","Valence","positive","negative",1,1727875919064,"negative",1563,801,"concrete-negative","negative","negative;positive",6.68586094706836,7.35436233042148,22,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.1,0.85,0.95,0.9
"18",63,"5c205371da51990001e17313","qualify","test","concrete-positive","Valence","positive","positive",1,1727875920696,"positive",1627,873,"concrete-positive","negative","negative;positive",6.7719355558396,7.39449310721904,23,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0499999999999999,0.9,0.95,0.925
"19",70,"5c205371da51990001e17313","running","test","abstract-positive","Valence","positive","positive",1,1727875931635,"positive",1434,676,"abstract-positive","negative","negative;positive",6.51619307604296,7.26822302115957,30,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0,0.9,0.9,0.9
"20",73,"5c205371da51990001e17313","discourage","test","concrete-negative","Valence","positive","negative",1,1727875935720,"negative",1260,498,"concrete-negative","negative","negative;positive",6.21060007702465,7.13886699994552,33,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0499999999999999,0.95,0.9,0.925
"21",77,"5c205371da51990001e17313","distrust","test","concrete-negative","Valence","positive","negative",1,1727875941666,"negative",1344,585,"concrete-negative","negative","negative;positive",6.37161184723186,7.20340552108309,37,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0326446280991735,0.95,0.917355371900826,0.933677685950413
"22",79,"5c205371da51990001e17313","sail","test","abstract-positive","Valence","positive","positive",1,1727875944637,"positive",1603,839,"abstract-positive","negative","negative;positive",6.73221070646721,7.37963215260955,39,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.1,0.85,0.95,0.9
"23",82,"63f779382e81070cd6f77b5e","qualify","test","concrete-positive","Valence","positive","positive",1,1727879478935,"positive",1598,839,"concrete-positive","negative","negative;positive",6.73221070646721,7.37650812632622,2,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0499999999999999,0.9,0.95,0.925
"24",92,"63f779382e81070cd6f77b5e","distrust","test","concrete-negative","Valence","positive","negative",1,1727879495145,"negative",1581,828,"concrete-negative","negative","negative;positive",6.71901315438526,7.36581283720947,12,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0326446280991735,0.95,0.917355371900826,0.933677685950413
"25",94,"63f779382e81070cd6f77b5e","hope","test","concrete-positive","Valence","positive","positive",1,1727879498398,"positive",1302,547,"concrete-positive","negative","negative;positive",6.30444880242198,7.17165682276851,14,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0475409836065575,0.9,0.852459016393443,0.876229508196721
"26",96,"63f779382e81070cd6f77b5e","sail","test","abstract-positive","Valence","positive","positive",1,1727879501673,"positive",1837,1081,"abstract-positive","negative","negative;positive",6.98564181763921,7.51588908521513,16,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.1,0.85,0.95,0.9
"27",102,"63f779382e81070cd6f77b5e","beware","test","concrete-negative","Valence","positive","negative",1,1727879512235,"negative",1398,636,"concrete-negative","negative","negative;positive",6.45519856334012,7.24279792279376,22,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.05,0.9,0.85,0.875
"28",104,"63f779382e81070cd6f77b5e","discourage","test","concrete-negative","Valence","positive","negative",1,1727879514682,"negative",1198,440,"concrete-negative","negative","negative;positive",6.08677472691231,7.08840877867539,24,"Pilot1","Morgan1",NA,NA,NA,NA,NA,0.0499999999999999,0.95,0.9,0.925
