"","Word","ConcValStrict","Group","F_value","J_value"
"1","befall","concrete-negative","A","negative","positive"
"2","consider","concrete-positive","A","negative","positive"
"3","esteem","abstract-positive","A","negative","positive"
"4","fall","abstract-negative","A","negative","positive"
"5","running","abstract-positive","A","negative","positive"
"6","break","concrete-negative","A","negative","positive"
"7","criticize","abstract-negative","A","negative","positive"
"8","scratch","concrete-negative","A","negative","positive"
"9","build","concrete-positive","A","negative","positive"
"10","impose","concrete-negative","A","negative","positive"
"11","qualify","concrete-positive","A","negative","positive"
"12","scorn","abstract-negative","A","negative","positive"
"13","beware","concrete-negative","A","negative","positive"
"14","obsess","abstract-negative","A","negative","positive"
"15","loathe","abstract-negative","A","negative","positive"
"16","cherish","abstract-positive","A","negative","positive"
"17","hug","concrete-positive","A","negative","positive"
"18","excell","abstract-positive","A","negative","positive"
"19","resent","abstract-negative","A","negative","positive"
"20","embolden","abstract-positive","A","negative","positive"
"21","respect","abstract-positive","A","negative","positive"
"22","admire","abstract-positive","A","negative","positive"
"23","flourish","abstract-positive","A","negative","positive"
"24","cuddle","concrete-positive","A","negative","positive"
"25","doubt","abstract-negative","A","negative","positive"
"26","exploit","concrete-negative","A","negative","positive"
"27","hurl","abstract-negative","A","negative","positive"
"28","repair","concrete-positive","A","negative","positive"
"29","sail","abstract-positive","A","negative","positive"
"30","smack","abstract-negative","A","negative","positive"
"31","murder","concrete-negative","A","negative","positive"
"32","adore","abstract-positive","A","negative","positive"
"33","worry","abstract-negative","A","negative","positive"
"34","kill","concrete-negative","A","negative","positive"
"35","rot","concrete-negative","A","negative","positive"
"36","smile","concrete-positive","A","negative","positive"
"37","behold","concrete-positive","A","negative","positive"
"38","feeling","concrete-positive","A","negative","positive"
"39","stab","concrete-negative","A","negative","positive"
"40","justify","concrete-positive","A","negative","positive"
"41","befall","concrete-negative","B","positive","negative"
"42","consider","concrete-positive","B","positive","negative"
"43","esteem","abstract-positive","B","positive","negative"
"44","fall","abstract-negative","B","positive","negative"
"45","running","abstract-positive","B","positive","negative"
"46","break","concrete-negative","B","positive","negative"
"47","criticize","abstract-negative","B","positive","negative"
"48","scratch","concrete-negative","B","positive","negative"
"49","build","concrete-positive","B","positive","negative"
"50","impose","concrete-negative","B","positive","negative"
"51","qualify","concrete-positive","B","positive","negative"
"52","scorn","abstract-negative","B","positive","negative"
"53","beware","concrete-negative","B","positive","negative"
"54","obsess","abstract-negative","B","positive","negative"
"55","loathe","abstract-negative","B","positive","negative"
"56","cherish","abstract-positive","B","positive","negative"
"57","hug","concrete-positive","B","positive","negative"
"58","excell","abstract-positive","B","positive","negative"
"59","resent","abstract-negative","B","positive","negative"
"60","embolden","abstract-positive","B","positive","negative"
"61","respect","abstract-positive","B","positive","negative"
"62","admire","abstract-positive","B","positive","negative"
"63","flourish","abstract-positive","B","positive","negative"
"64","cuddle","concrete-positive","B","positive","negative"
"65","doubt","abstract-negative","B","positive","negative"
"66","exploit","concrete-negative","B","positive","negative"
"67","hurl","abstract-negative","B","positive","negative"
"68","repair","concrete-positive","B","positive","negative"
"69","sail","abstract-positive","B","positive","negative"
"70","smack","abstract-negative","B","positive","negative"
"71","murder","concrete-negative","B","positive","negative"
"72","adore","abstract-positive","B","positive","negative"
"73","worry","abstract-negative","B","positive","negative"
"74","kill","concrete-negative","B","positive","negative"
"75","rot","concrete-negative","B","positive","negative"
"76","smile","concrete-positive","B","positive","negative"
"77","behold","concrete-positive","B","positive","negative"
"78","feeling","concrete-positive","B","positive","negative"
"79","stab","concrete-negative","B","positive","negative"
"80","justify","concrete-positive","B","positive","negative"
