"","Word","ConcValCombo","Group","F_value","J_value"
"1","build","concrete-positive","A","abstract","concrete"
"2","cook","concrete-positive","A","abstract","concrete"
"3","cuddle","concrete-positive","A","abstract","concrete"
"4","eat","concrete-positive","A","abstract","concrete"
"5","hug","concrete-positive","A","abstract","concrete"
"6","kiss","concrete-positive","A","abstract","concrete"
"7","running","concrete-positive","A","abstract","concrete"
"8","sail","concrete-positive","A","abstract","concrete"
"9","smile","concrete-positive","A","abstract","concrete"
"10","swing","concrete-positive","A","abstract","concrete"
"11","bleed","concrete-negative","A","abstract","concrete"
"12","kill","concrete-negative","A","abstract","concrete"
"13","murder","concrete-negative","A","abstract","concrete"
"14","puke","concrete-negative","A","abstract","concrete"
"15","scratch","concrete-negative","A","abstract","concrete"
"16","slap","concrete-negative","A","abstract","concrete"
"17","smack","concrete-negative","A","abstract","concrete"
"18","spit","concrete-negative","A","abstract","concrete"
"19","stab","concrete-negative","A","abstract","concrete"
"20","vomit","concrete-negative","A","abstract","concrete"
"21","annoy","abstract-negative","A","abstract","concrete"
"22","befall","abstract-negative","A","abstract","concrete"
"23","criticize","abstract-negative","A","abstract","concrete"
"24","exploit","abstract-negative","A","abstract","concrete"
"25","loathe","abstract-negative","A","abstract","concrete"
"26","obsess","abstract-negative","A","abstract","concrete"
"27","resent","abstract-negative","A","abstract","concrete"
"28","scorn","abstract-negative","A","abstract","concrete"
"29","violate","abstract-negative","A","abstract","concrete"
"30","worry","abstract-negative","A","abstract","concrete"
"31","imagine","abstract-positive","A","abstract","concrete"
"32","enlighten","abstract-positive","A","abstract","concrete"
"33","admired","abstract-positive","A","abstract","concrete"
"34","cherish","abstract-positive","A","abstract","concrete"
"35","hope","abstract-positive","A","abstract","concrete"
"36","believe","abstract-positive","A","abstract","concrete"
"37","fulfill","abstract-positive","A","abstract","concrete"
"38","esteem","abstract-positive","A","abstract","concrete"
"39","justify","abstract-positive","A","abstract","concrete"
"40","respect","abstract-positive","A","abstract","concrete"
"41","build","concrete-positive","B","concrete","abstract"
"42","cook","concrete-positive","B","concrete","abstract"
"43","cuddle","concrete-positive","B","concrete","abstract"
"44","eat","concrete-positive","B","concrete","abstract"
"45","hug","concrete-positive","B","concrete","abstract"
"46","kiss","concrete-positive","B","concrete","abstract"
"47","running","concrete-positive","B","concrete","abstract"
"48","sail","concrete-positive","B","concrete","abstract"
"49","smile","concrete-positive","B","concrete","abstract"
"50","swing","concrete-positive","B","concrete","abstract"
"51","bleed","concrete-negative","B","concrete","abstract"
"52","kill","concrete-negative","B","concrete","abstract"
"53","murder","concrete-negative","B","concrete","abstract"
"54","puke","concrete-negative","B","concrete","abstract"
"55","scratch","concrete-negative","B","concrete","abstract"
"56","slap","concrete-negative","B","concrete","abstract"
"57","smack","concrete-negative","B","concrete","abstract"
"58","spit","concrete-negative","B","concrete","abstract"
"59","stab","concrete-negative","B","concrete","abstract"
"60","vomit","concrete-negative","B","concrete","abstract"
"61","annoy","abstract-negative","B","concrete","abstract"
"62","befall","abstract-negative","B","concrete","abstract"
"63","criticize","abstract-negative","B","concrete","abstract"
"64","exploit","abstract-negative","B","concrete","abstract"
"65","loathe","abstract-negative","B","concrete","abstract"
"66","obsess","abstract-negative","B","concrete","abstract"
"67","resent","abstract-negative","B","concrete","abstract"
"68","scorn","abstract-negative","B","concrete","abstract"
"69","violate","abstract-negative","B","concrete","abstract"
"70","worry","abstract-negative","B","concrete","abstract"
"71","imagine","abstract-positive","B","concrete","abstract"
"72","enlighten","abstract-positive","B","concrete","abstract"
"73","admired","abstract-positive","B","concrete","abstract"
"74","cherish","abstract-positive","B","concrete","abstract"
"75","hope","abstract-positive","B","concrete","abstract"
"76","believe","abstract-positive","B","concrete","abstract"
"77","fulfill","abstract-positive","B","concrete","abstract"
"78","esteem","abstract-positive","B","concrete","abstract"
"79","justify","abstract-positive","B","concrete","abstract"
"80","respect","abstract-positive","B","concrete","abstract"
