"","ID.true","Word","Label","ConcValCombo","Task","BlockOrder","Group","Response","Accuracy","EventTime","Value","RT","ReactionTime","Key_value_F","Key_value_J","Comments","LogReactionTime","LogRT","TrialNumber"
"1","5dc47ddd034b45342d3b2e3a","puke","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648686025,"concrete",1482.16666666667,965,"concrete","B","",6.87212810133899,7.30126026017158,1
"2","5dc47ddd034b45342d3b2e3a","believe","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648688593,"abstract",1875.83333333333,1809,"concrete","B","",7.50052948539529,7.53680828411278,2
"3","5dc47ddd034b45342d3b2e3a","slap","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648690369,"concrete",1701.83333333333,1020,"concrete","B","",6.92755790627832,7.43946138032748,3
"4","5dc47ddd034b45342d3b2e3a","exploit","test_conc","abstract-negative","Concrete","CV","B","abstract",1,1742648691929,"abstract",1514.33333333333,799,"concrete","B","",6.68336094576627,7.32273057709129,4
"5","5dc47ddd034b45342d3b2e3a","criticize","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648693865,"concrete",1576.5,1178,"concrete","B","",7.07157336421153,7.36296247898512,5
"6","5dc47ddd034b45342d3b2e3a","hope","test_conc","abstract-positive","Concrete","CV","B","concrete",0,1742648695194,"concrete",1521,567,"concrete","B","",6.34035930372775,7.32712329225929,6
"7","5dc47ddd034b45342d3b2e3a","justify","test_conc","abstract-positive","Concrete","CV","B","concrete",0,1742648696657,"concrete",1801.25,706,"concrete","B","",6.55961523749324,7.49623614731373,7
"8","5dc47ddd034b45342d3b2e3a","vomit","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648698137,"concrete",1581.5,715,"concrete","B","",6.57228254269401,7.3661290427457,8
"9","5dc47ddd034b45342d3b2e3a","smack","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648699649,"concrete",1420.33333333333,754,"concrete","B","",6.62539236800796,7.2586468648318,9
"10","5dc47ddd034b45342d3b2e3a","cherish","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648701073,"abstract",1363.33333333333,668,"concrete","B","",6.50428817353665,7.21768796036874,10
"11","5dc47ddd034b45342d3b2e3a","running","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648703089,"concrete",1584.16666666667,1252,"concrete","B","",7.13249755166004,7.36781378569447,11
"12","5dc47ddd034b45342d3b2e3a","sail","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648704569,"concrete",1648,719,"concrete","B","",6.57786135772105,7.40731771046942,12
"13","5dc47ddd034b45342d3b2e3a","loathe","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648706428,"concrete",1613.33333333333,1099,"concrete","B","",7.00215595440362,7.38605771104257,13
"14","5dc47ddd034b45342d3b2e3a","bleed","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648708393,"concrete",1697.33333333333,1205,"concrete","B","",7.09423484592476,7.43681367100919,14
"15","5dc47ddd034b45342d3b2e3a","esteem","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648710273,"abstract",1637,1120,"concrete","B","",7.02108396428914,7.40062057737113,15
"16","5dc47ddd034b45342d3b2e3a","respect","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648712417,"abstract",1815.83333333333,1383,"concrete","B","",7.23201033166476,7.50429977815067,16
"17","5dc47ddd034b45342d3b2e3a","swing","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648714282,"concrete",1621.83333333333,1103,"concrete","B","",7.0057890192535,7.39131247559393,17
"18","5dc47ddd034b45342d3b2e3a","hug","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648716345,"concrete",1583.83333333333,1301,"concrete","B","",7.1708884785125,7.36760334798326,18
"19","5dc47ddd034b45342d3b2e3a","admired","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648718444,"abstract",1815.66666666667,1337,"concrete","B","",7.19818357710194,7.50420798871556,19
"20","5dc47ddd034b45342d3b2e3a","resent","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648720679,"concrete",1715.25,1472,"concrete","B","",7.29437729928882,7.447314121571,20
"21","5dc47ddd034b45342d3b2e3a","imagine","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648722522,"abstract",1666.66666666667,1079,"concrete","B","",6.98378996525813,7.41858090274813,21
"22","5dc47ddd034b45342d3b2e3a","smile","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648723929,"concrete",1455.66666666667,644,"concrete","B","",6.46769872610435,7.28321926481745,22
"23","5dc47ddd034b45342d3b2e3a","worry","test_conc","abstract-negative","Concrete","CV","B","abstract",1,1742648725857,"abstract",1531.25,1163,"concrete","B","",7.05875815251866,7.33383967429304,23
"24","5dc47ddd034b45342d3b2e3a","cook","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648727267,"concrete",1700.16666666667,650,"concrete","B","",6.47697236288968,7.43848156445446,24
"25","5dc47ddd034b45342d3b2e3a","stab","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648728682,"concrete",1413.5,650,"concrete","B","",6.47697236288968,7.25382417713365,25
"26","5dc47ddd034b45342d3b2e3a","spit","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648730202,"concrete",1561.33333333333,756,"concrete","B","",6.62804137617953,7.3532954360495,26
"27","5dc47ddd034b45342d3b2e3a","kiss","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648731625,"concrete",1506.83333333333,663,"concrete","B","",6.49677499018586,7.31776559750931,27
"28","5dc47ddd034b45342d3b2e3a","build","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648733129,"concrete",1460,743,"concrete","B","",6.61069604471776,7.28619171470238,28
"29","5dc47ddd034b45342d3b2e3a","obsess","test_conc","abstract-negative","Concrete","CV","B","abstract",1,1742648734785,"abstract",1544.33333333333,894,"concrete","B","",6.79570577517351,7.34234759674854,29
"30","5dc47ddd034b45342d3b2e3a","eat","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648736146,"concrete",1376.33333333333,599,"concrete","B","",6.39526159811545,7.22717823721798,30
"31","5dc47ddd034b45342d3b2e3a","annoy","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648737802,"concrete",1630.16666666667,895,"concrete","B","",6.79682371827486,7.39643753806244,31
"32","5dc47ddd034b45342d3b2e3a","scorn","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648739826,"concrete",1598.16666666667,1261,"concrete","B","",7.13966033596492,7.37661241792563,32
"33","5dc47ddd034b45342d3b2e3a","scratch","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648741362,"concrete",1600.16666666667,772,"concrete","B","",6.64898455002478,7.37786306946957,33
"34","5dc47ddd034b45342d3b2e3a","fulfill","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648743057,"abstract",1841.83333333333,932,"concrete","B","",6.83733281468559,7.51851673136073,34
"35","5dc47ddd034b45342d3b2e3a","kill","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648744338,"concrete",1457.66666666667,520,"concrete","B","",6.25382881157547,7.28459226274481,35
"36","5dc47ddd034b45342d3b2e3a","enlighten","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648746034,"abstract",1506.33333333333,932,"concrete","B","",6.83733281468559,7.31743372074317,36
"37","5dc47ddd034b45342d3b2e3a","cuddle","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648747545,"concrete",1662.33333333333,753,"concrete","B","",6.62406522779989,7.41597751687801,37
"38","5dc47ddd034b45342d3b2e3a","murder","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648748906,"concrete",1543,600,"concrete","B","",6.39692965521615,7.34148385236316,38
"39","5dc47ddd034b45342d3b2e3a","violate","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648750610,"concrete",1611.16666666667,942,"concrete","B","",6.84800527457636,7.38471383323655,39
"40","5dc47ddd034b45342d3b2e3a","befall","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648752057,"concrete",1572.83333333333,686,"concrete","B","",6.53087762772588,7.36063394279328,40
"41","5dc47ddd034b45342d3b2e3a","enlighten","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648753649,"abstract",1506.33333333333,830,"concrete","B","",6.72142570079064,7.31743372074317,41
"42","5dc47ddd034b45342d3b2e3a","worry","test_conc","abstract-negative","Concrete","CV","B","abstract",1,1742648755297,"abstract",1531.25,886,"concrete","B","",6.78671695060508,7.33383967429304,42
"43","5dc47ddd034b45342d3b2e3a","hope","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648757218,"abstract",1521,1160,"concrete","B","",7.05617528410041,7.32712329225929,43
"44","5dc47ddd034b45342d3b2e3a","hug","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648758577,"concrete",1583.83333333333,602,"concrete","B","",6.40025744530882,7.36760334798326,44
"45","5dc47ddd034b45342d3b2e3a","justify","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648760065,"abstract",1801.25,729,"concrete","B","",6.59167373200866,7.49623614731373,45
"46","5dc47ddd034b45342d3b2e3a","build","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648761570,"concrete",1460,749,"concrete","B","",6.61873898351722,7.28619171470238,46
"47","5dc47ddd034b45342d3b2e3a","scratch","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648763209,"concrete",1600.16666666667,879,"concrete","B","",6.77878489768518,7.37786306946957,47
"48","5dc47ddd034b45342d3b2e3a","obsess","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648764516,"concrete",1544.33333333333,544,"concrete","B","",6.29894924685594,7.34234759674854,48
"49","5dc47ddd034b45342d3b2e3a","befall","test_conc","abstract-negative","Concrete","CV","B","abstract",1,1742648766031,"abstract",1572.83333333333,756,"concrete","B","",6.62804137617953,7.36063394279328,49
"50","5dc47ddd034b45342d3b2e3a","annoy","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648767593,"concrete",1630.16666666667,802,"concrete","B","",6.68710860786651,7.39643753806244,50
"51","5dc47ddd034b45342d3b2e3a","stab","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648769155,"concrete",1413.5,803,"concrete","B","",6.68835471394676,7.25382417713365,51
"52","5dc47ddd034b45342d3b2e3a","cherish","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648770665,"abstract",1363.33333333333,748,"concrete","B","",6.61740297797448,7.21768796036874,52
"53","5dc47ddd034b45342d3b2e3a","smile","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648772010,"concrete",1455.66666666667,583,"concrete","B","",6.36818718635049,7.28321926481745,53
"54","5dc47ddd034b45342d3b2e3a","spit","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648773345,"concrete",1561.33333333333,573,"concrete","B","",6.35088571671474,7.3532954360495,54
"55","5dc47ddd034b45342d3b2e3a","resent","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648774694,"concrete",1715.25,584,"concrete","B","",6.36990098282823,7.447314121571,55
"56","5dc47ddd034b45342d3b2e3a","sail","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648776065,"concrete",1648,609,"concrete","B","",6.4118182677099,7.40731771046942,56
"57","5dc47ddd034b45342d3b2e3a","kill","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648777481,"concrete",1457.66666666667,654,"concrete","B","",6.4831073514572,7.28459226274481,57
"58","5dc47ddd034b45342d3b2e3a","kiss","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648778969,"concrete",1506.83333333333,726,"concrete","B","",6.5875500148248,7.31776559750931,58
"59","5dc47ddd034b45342d3b2e3a","cuddle","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648780354,"concrete",1662.33333333333,625,"concrete","B","",6.4377516497364,7.41597751687801,59
"60","5dc47ddd034b45342d3b2e3a","imagine","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648781921,"abstract",1666.66666666667,807,"concrete","B","",6.69332366826995,7.41858090274813,60
"61","5dc47ddd034b45342d3b2e3a","slap","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648783321,"concrete",1701.83333333333,640,"concrete","B","",6.46146817635372,7.43946138032748,61
"62","5dc47ddd034b45342d3b2e3a","puke","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648784697,"concrete",1482.16666666667,616,"concrete","B","",6.42324696353352,7.30126026017158,62
"63","5dc47ddd034b45342d3b2e3a","fulfill","test_conc","abstract-positive","Concrete","CV","B","concrete",0,1742648786089,"concrete",1841.83333333333,630,"concrete","B","",6.44571981938558,7.51851673136073,63
"64","5dc47ddd034b45342d3b2e3a","murder","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648787428,"concrete",1543,580,"concrete","B","",6.36302810354046,7.34148385236316,64
"65","5dc47ddd034b45342d3b2e3a","bleed","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648788825,"concrete",1697.33333333333,640,"concrete","B","",6.46146817635372,7.43681367100919,65
"66","5dc47ddd034b45342d3b2e3a","running","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648790409,"concrete",1584.16666666667,828,"concrete","B","",6.71901315438526,7.36781378569447,66
"67","5dc47ddd034b45342d3b2e3a","scorn","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648791793,"concrete",1598.16666666667,625,"concrete","B","",6.4377516497364,7.37661241792563,67
"68","5dc47ddd034b45342d3b2e3a","loathe","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648793722,"concrete",1613.33333333333,1165,"concrete","B","",7.0604763659998,7.38605771104257,68
"69","5dc47ddd034b45342d3b2e3a","believe","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648795777,"abstract",1875.83333333333,1295,"concrete","B","",7.16626597413364,7.53680828411278,69
"70","5dc47ddd034b45342d3b2e3a","criticize","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648797587,"concrete",1576.5,1051,"concrete","B","",6.95749737087695,7.36296247898512,70
"71","5dc47ddd034b45342d3b2e3a","admired","test_conc","abstract-positive","Concrete","CV","B","concrete",0,1742648799146,"concrete",1815.66666666667,797,"concrete","B","",6.68085467879022,7.50420798871556,71
"72","5dc47ddd034b45342d3b2e3a","cook","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648800564,"concrete",1700.16666666667,654,"concrete","B","",6.4831073514572,7.43848156445446,72
"73","5dc47ddd034b45342d3b2e3a","swing","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648802106,"concrete",1621.83333333333,779,"concrete","B","",6.65801104587075,7.39131247559393,73
"74","5dc47ddd034b45342d3b2e3a","respect","test_conc","abstract-positive","Concrete","CV","B","concrete",0,1742648803505,"concrete",1815.83333333333,638,"concrete","B","",6.45833828334479,7.50429977815067,74
"75","5dc47ddd034b45342d3b2e3a","exploit","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648805186,"concrete",1514.33333333333,921,"concrete","B","",6.82546003625531,7.32273057709129,75
"76","5dc47ddd034b45342d3b2e3a","eat","test_conc","concrete-positive","Concrete","CV","B","concrete",1,1742648806570,"concrete",1376.33333333333,626,"concrete","B","",6.4393503711001,7.22717823721798,76
"77","5dc47ddd034b45342d3b2e3a","esteem","test_conc","abstract-positive","Concrete","CV","B","abstract",1,1742648808065,"abstract",1637,734,"concrete","B","",6.59850902861452,7.40062057737113,77
"78","5dc47ddd034b45342d3b2e3a","smack","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648809497,"concrete",1420.33333333333,670,"concrete","B","",6.50727771238501,7.2586468648318,78
"79","5dc47ddd034b45342d3b2e3a","violate","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648810961,"concrete",1611.16666666667,705,"concrete","B","",6.55819780281227,7.38471383323655,79
"80","5dc47ddd034b45342d3b2e3a","vomit","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648812522,"concrete",1581.5,800,"concrete","B","",6.68461172766793,7.3661290427457,80
"81","5dc47ddd034b45342d3b2e3a","esteem","test_conc","abstract-positive","Concrete","CV","B","concrete",0,1742648813913,"concrete",1637,632,"concrete","B","",6.44888939414686,7.40062057737113,81
"82","5dc47ddd034b45342d3b2e3a","scorn","test_conc","abstract-negative","Concrete","CV","B","concrete",0,1742648815266,"concrete",1598.16666666667,587,"concrete","B","",6.3750248198281,7.37661241792563,82
"83","5dc47ddd034b45342d3b2e3a","murder","test_conc","concrete-negative","Concrete","CV","B","concrete",1,1742648816617,"concrete",1543,590,"concrete","B","",6.38012253689976,7.34148385236316,83
