level_0,index,Word,Conc.M,Conc.SD,V.Mean.Sum,V.SD.Sum,WeightedSum,ConcValCombo
0,2238.0,worthless,1.97,1.32,1.89,1.41,0.565,abstract-negative
1,2355.0,awful,1.92,1.09,2.28,1.96,0.5749999999999997,abstract-negative
2,2306.0,evil,1.93,1.44,2.34,1.61,0.6099999999999999,abstract-negative
3,2982.0,soulless,1.52,1.09,2.71,1.68,0.7300000000000002,abstract-negative
4,2631.0,heartless,1.79,1.17,2.8,1.88,0.77,abstract-negative
5,2560.0,sexist,1.83,1.26,3.4,2.37,0.8000000000000003,abstract-negative
6,2839.0,crappy,1.67,0.84,2.35,1.57,0.8049999999999997,abstract-negative
7,2724.0,stupid,1.75,0.97,2.84,2.01,0.8050000000000002,abstract-negative
8,2475.0,sinful,1.87,1.17,3.37,2.39,0.8400000000000001,abstract-negative
9,2864.0,disloyal,1.64,0.99,2.27,1.22,0.8500000000000001,abstract-negative
81,,sunny,4.2,1.12,7.95,0.89,5.07,concrete-positive
18,,lilac,4.69,0.97,6.95,1.23,4.720000000000001,concrete-positive
2,,human,4.93,0.26,6.45,1.74,4.6899999999999995,concrete-positive
27,,female,4.57,0.88,7.52,1.86,4.675,concrete-positive
46,,newborn,4.39,1.03,7.48,1.69,4.575000000000001,concrete-positive
101,,blooming,4.07,0.92,7.19,1.25,4.545000000000001,concrete-positive
19,,orange,4.66,0.9,6.81,1.54,4.515,concrete-positive
99,,starry,4.08,1.15,7.4,1.5,4.415,concrete-positive
26,,pregnant,4.59,0.89,7.17,2.33,4.27,concrete-positive
72,,handmade,4.25,0.97,7.11,1.85,4.27,concrete-positive
2852,,honest,1.66,1.08,8.16,1.12,2.15,abstract-positive
2220,,lovable,1.97,1.27,8.26,0.99,2.015,abstract-positive
2814,,thankful,1.69,0.76,7.76,1.65,1.83,abstract-positive
2653,,splendid,1.79,0.94,7.62,1.28,1.8050000000000002,abstract-positive
2947,,possible,1.56,1.01,7.14,0.99,1.79,abstract-positive
2980,,sensible,1.52,0.87,6.74,1.05,1.6500000000000004,abstract-positive
3005,,mindful,1.48,0.65,6.7,1.3,1.6350000000000002,abstract-positive
2953,,pleasant,1.55,0.91,7.24,1.51,1.6350000000000002,abstract-positive
2701,,helpful,1.76,1.02,7.43,1.43,1.6099999999999999,abstract-positive
3021,,divine,1.44,1.09,7.15,1.42,1.6000000000000005,abstract-positive
70,,toothless,4.26,0.98,2.52,1.5,-0.3700000000000001,concrete-negative
39,,headless,4.42,0.95,2.95,1.54,-0.5100000000000002,concrete-negative
68,,bloodshot,4.26,0.96,2.85,1.53,-0.5400000000000003,concrete-negative
37,,rusted,4.44,0.85,3.27,1.64,-0.6599999999999997,concrete-negative
69,,thorny,4.26,0.93,3.1,1.59,-0.6800000000000002,concrete-negative
33,,hairy,4.48,0.98,3.8,1.28,-0.7899999999999996,concrete-negative
76,,dirty,4.23,1.14,3.17,1.89,-0.9849999999999997,concrete-negative
65,,wrinkled,4.29,1.16,3.74,1.45,-1.03,concrete-negative
111,,freezing,4.04,1.14,3.33,1.88,-1.1549999999999998,concrete-negative
98,,bloody,4.08,1.25,2.86,2.29,-1.16,concrete-negative
