"","ID.true","Word","Label","ConcValCombo","Task","BlockOrder","Group","Response","Accuracy","EventTime","Value","RT","ReactionTime","Key_value_F","Key_value_J","Comments","LogReactionTime","LogRT","TrialNumber"
"1","632b5400bf46cdb11db9f588","rusted","test_val","concrete-negative","Valence","VC","positive;negative","negative",1,1742927220595,"negative",1146.33333333333,697,"negative","A","",6.54678541076052,7.04432372176416,1
"2","632b5400bf46cdb11db9f588","mindful","test_val","abstract-positive","Valence","VC","positive;negative","positive",1,1742927221933,"positive",1351.33333333333,572,"negative","A","",6.3491389913798,7.20884703834384,2
"3","632b5400bf46cdb11db9f588","freezing","test_val","concrete-negative","Valence","VC","positive;negative","negative",1,1742927223286,"negative",1188.66666666667,589,"negative","A","",6.37842618365159,7.08058750975498,3
"4","632b5400bf46cdb11db9f588","disloyal","test_val","abstract-negative","Valence","VC","positive;negative","negative",1,1742927224556,"negative",1174.66666666667,500,"negative","A","",6.21460809842219,7.06873969838796,4
"5","632b5400bf46cdb11db9f588","soulless","test_val","abstract-negative","Valence","VC","positive;negative","negative",1,1742927225916,"negative",1233.5,584,"negative","A","",6.36990098282823,7.11761093596941,5
"6","632b5400bf46cdb11db9f588","evil","test_val","abstract-negative","Valence","VC","positive;negative","negative",1,1742927227114,"negative",1116.16666666667,427,"negative","A","",6.05678401322862,7.017655474682,6
"7","632b5400bf46cdb11db9f588","starry","test_val","concrete-positive","Valence","VC","positive;negative","negative",0,1742927228346,"negative",1147.33333333333,461,"negative","A","",6.13339804299665,7.04519568810337,7
"8","632b5400bf46cdb11db9f588","female","test_val","concrete-positive","Valence","VC","positive;negative","positive",1,1742927229575,"positive",1161.33333333333,446,"negative","A","",6.10031895202006,7.05732404930428,8
"9","632b5400bf46cdb11db9f588","headless","test_val","concrete-negative","Valence","VC","positive;negative","negative",1,1742927230959,"negative",1165,610,"negative","A","",6.41345895716736,7.0604763659998,9
"10","632b5400bf46cdb11db9f588","hairy","test_val","concrete-negative","Valence","VC","positive;negative","negative",1,1742927232292,"negative",1219.66666666667,558,"negative","A","",6.32435896238131,7.1063328763511,10
"11","632b5400bf46cdb11db9f588","crappy","test_val","abstract-negative","Valence","VC","positive;negative","negative",1,1742927233623,"negative",1152.83333333333,560,"negative","A","",6.32793678372919,7.04997795937253,11
"12","632b5400bf46cdb11db9f588","lovable","test_val","abstract-positive","Valence","VC","positive;negative","positive",1,1742927234906,"positive",1175.83333333333,505,"negative","A","",6.22455842927536,7.06973239505886,12
"13","632b5400bf46cdb11db9f588","pleasant","test_val","abstract-positive","Valence","VC","positive;negative","positive",1,1742927236168,"positive",1259.66666666667,486,"negative","A","",6.18620862390049,7.13860241468138,13
"14","632b5400bf46cdb11db9f588","bloody","test_val","concrete-negative","Valence","VC","positive;negative","negative",1,1742927237500,"negative",1162.33333333333,554,"negative","A","",6.31716468674728,7.05818475800754,14
"15","632b5400bf46cdb11db9f588","pregnant","test_val","concrete-positive","Valence","VC","positive;negative","negative",0,1742927239166,"negative",1317,892,"negative","A","",6.79346613258001,7.18311170174328,15
"16","632b5400bf46cdb11db9f588","newborn","test_val","concrete-positive","Valence","VC","positive;negative","negative",0,1742927240857,"negative",1286.83333333333,927,"negative","A","",6.83195356556585,7.15993969908076,16
"17","632b5400bf46cdb11db9f588","human","test_val","concrete-positive","Valence","VC","positive;negative","positive",1,1742927242292,"positive",1153,664,"negative","A","",6.49828214947643,7.05012252026906,17
"18","632b5400bf46cdb11db9f588","honest","test_val","abstract-positive","Valence","VC","positive;negative","positive",1,1742927243464,"positive",1124.33333333333,396,"negative","A","",5.98141421125448,7.02494554639354,18
"19","632b5400bf46cdb11db9f588","worthless","test_val","abstract-negative","Valence","VC","positive;negative","negative",1,1742927244912,"negative",1190.5,677,"negative","A","",6.51767127291227,7.08212866592692,19
"20","632b5400bf46cdb11db9f588","possible","test_val","abstract-positive","Valence","VC","positive;negative","positive",1,1742927246215,"positive",1179.16666666667,534,"negative","A","",6.2803958389602,7.07256325328338,20
"21","632b5400bf46cdb11db9f588","divine","test_val","abstract-positive","Valence","VC","positive;negative","positive",1,1742927247630,"positive",1126.5,645,"negative","A","",6.46925031679577,7.0268707598723,21
"22","632b5400bf46cdb11db9f588","dirty","test_val","concrete-negative","Valence","VC","positive;negative","negative",1,1742927248922,"negative",1162.33333333333,525,"negative","A","",6.26339826259162,7.05818475800754,22
"23","632b5400bf46cdb11db9f588","toothless","test_val","concrete-negative","Valence","VC","positive;negative","positive",0,1742927250440,"positive",1243.5,747,"negative","A","",6.61606518513282,7.12568526324346,23
"24","632b5400bf46cdb11db9f588","bloodshot","test_val","concrete-negative","Valence","VC","positive;negative","negative",1,1742927251840,"negative",1171.16666666667,636,"negative","A","",6.45519856334012,7.06575568196414,24
"25","632b5400bf46cdb11db9f588","heartless","test_val","abstract-negative","Valence","VC","positive;negative","negative",1,1742927253298,"negative",1257.33333333333,693,"negative","A","",6.5410299991899,7.13674835508524,25
"26","632b5400bf46cdb11db9f588","thorny","test_val","concrete-negative","Valence","VC","positive;negative","negative",1,1742927254648,"negative",1190,583,"negative","A","",6.36818718635049,7.08170858610557,26
"27","632b5400bf46cdb11db9f588","handmade","test_val","concrete-positive","Valence","VC","positive;negative","positive",1,1742927256186,"positive",1216.16666666667,763,"negative","A","",6.63725803128446,7.10345911453757,27
"28","632b5400bf46cdb11db9f588","lilac","test_val","concrete-positive","Valence","VC","positive;negative","positive",1,1742927257615,"positive",1221,659,"negative","A","",6.49072353450251,7.1074254741107,28
"29","632b5400bf46cdb11db9f588","thankful","test_val","abstract-positive","Valence","VC","positive;negative","positive",1,1742927258841,"positive",1178.16666666667,457,"negative","A","",6.12468339089421,7.0717148369429,29
"30","632b5400bf46cdb11db9f588","blooming","test_val","concrete-positive","Valence","VC","positive;negative","positive",1,1742927260288,"positive",1185.33333333333,669,"negative","A","",6.50578406012823,7.07777930796569,30
