ResponseID,Question,Response
R_8868VvS8DH4InYh,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_brBsncrK2secV7v,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_cIay1PiBWtSgPpr,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_4IrZFD1AjeRZm1T,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_8finadprGjxTKTP,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_ahZZOGMuJqHBtGd,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_249FSn3J0TI9ZWt,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_0H5BNGYtHbJlJLn,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_20ntoiSqvPVfdTT,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",2
R_4H1Izll8EGknlaJ,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_8hTzTWhIt3n7AHz,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_1MqpDS8VpRmCxGR,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_3XikxXHI9f3RNY1,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_bawhqfyJXOGMbZz,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_9STal68um6rtI45,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_3NMmCSjk8xZPyHH,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_6zMVC9kuhl7oD5j,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_9ua0FR0zNLyRqa9,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_eyQ92M2faxNQWFf,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_7379KPKAfmA5Sy9,"""TO /  DELIGHT"" /  /    /  /    /  /    /  /  B = positive     /         N = negative",1
R_8868VvS8DH4InYh,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_brBsncrK2secV7v,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_cIay1PiBWtSgPpr,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",1
R_4IrZFD1AjeRZm1T,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_8finadprGjxTKTP,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_ahZZOGMuJqHBtGd,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_249FSn3J0TI9ZWt,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_0H5BNGYtHbJlJLn,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_20ntoiSqvPVfdTT,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
