,Q4_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Q32_1,Q33_1,Q34_1,Q35_1,Q36_1,Q37_1,Q38_1,Q39_1,Q40_1,Q41_1,Q42_1,Q43_1,Q44_1,Q45_1,Q46_1,Q47_1,Q48_1,Q49_1,Q50_1,Q51_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,Q57_1,Q58_1,Q59_1,Q60_1,Q61_1,Q62_1,Q63_1,Q64_1,Q65_1,Q66_1,Q67_1,Q68_1,Q69_1,Q70_1,Q71_1,Q72_1,Q73_1,Q74_1,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,,,,,,
ResponseID,to produce - to burn,to rust - to cuddle,to clean - to corrode,to reassure - to embarrass,to dread - to content,to cherish - to dishonor,to hug - to like,to respect - to sculpt,to twinkle - to admire,to tear - to offend,to discourage - to hit,to stain - to dismay,to caress - to build,to crash - to slaughter,to impress - to encourage,to displease - to despair,to repair - to irritate,to slash - to appreciate,to adore - to delete,to criticize - to decorate,to caress - to crash,to slaughter - to build,to cuddle - to rust,to impress - to displease,to despair - to encourage,to content - to offend,to produce - to reassure,to admire - to twinkle,to repair - to appreciate,to burn - to embarrass,to dismay - to stain,to slash - to irritate,to clean - to hug,to corrode - to tear,to cherish - to like,to dread - to dishonor,to decorate - to criticize,to delete - to adore,to respect - to hit,to discourage - to sculpt,to decorate - to delete,to tear - to hug,to produce - to burn,to adore - to criticize,to dishonor - to like,to reassure - to embarrass,to cuddle - to content,to impress - to caress,to build - to encourage,to rust - to offend,to displease - to crash,to slaughter - to despair,to twinkle - to sculpt,to stain - to hit,to admire - to respect,to dismay - to discourage,to clean - to dread,to corrode - to cherish,to appreciate - to slash,to irritate - to repair,to cuddle - to rust,to slaughter - to build,to caress - to crash,to content - to offend,to despair - to encourage,to impress - to displease,to twinkle - to admire,to adore - to decorate,to sculpt - to respect,to stain - to dismay,to criticize - to delete,to hit - to discourage,to clean - to produce,to corrode - to burn,to cherish - to reassure,to dread - to embarrass,to hug - to dishonor,to tear - to like,to appreciate - to slash,to irritate - to repair,,,,,,
R_21cbkw5245BoIpJ,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,3,1,1,0,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1dMJadXWvcq7kKq,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,3,3,2,6,4,2,2,4,3,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2qz2Uxc3yqaiqUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1onJjwWyLeiWk4H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,4,0,5,0,1,2,1,2,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3en4iHHSb0bbodB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,4,4,3,0,0,4,4,5,4,0,0,1,0,0,,,,,,
R_3dKYP5OHRQ4DCUh,0,0,0,0,0,3,5,0,0,4,5,3,2,4,1,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3Jn1ziWh0PiWgpd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,1,5,1,1,2,1,0,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1NE6AFtLhtnUKLY,0,0,0,0,0,0,4,0,2,0,2,0,2,2,3,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2SAcYD7d1wgbDQe,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
