ResponseID,Task,Word,Response,ReactionTime
R_8868VvS8DH4InYh,Valence,DELIGHT,1.0,0.587
R_8868VvS8DH4InYh,Valence,DESPISE,2.0,0.587
R_8868VvS8DH4InYh,Valence,BUILD,1.0,0.779
R_8868VvS8DH4InYh,Valence,REPAIR,1.0,0.754
R_8868VvS8DH4InYh,Valence,CARESS,1.0,0.602
R_8868VvS8DH4InYh,Valence,PRODUCE,1.0,0.896
R_8868VvS8DH4InYh,Valence,SCULPT,1.0,0.874
R_8868VvS8DH4InYh,Valence,TWINKLE,1.0,0.672
R_8868VvS8DH4InYh,Valence,DECORATE,1.0,0.606
R_8868VvS8DH4InYh,Valence,PRAISE,1.0,0.722
R_8868VvS8DH4InYh,Valence,THRILL,1.0,0.836
R_8868VvS8DH4InYh,Valence,CONTENT,1.0,0.587
R_8868VvS8DH4InYh,Valence,APPRECIATE,1.0,0.874
R_8868VvS8DH4InYh,Valence,IMPRESS,1.0,0.725
R_8868VvS8DH4InYh,Valence,LIKE,1.0,0.564
R_8868VvS8DH4InYh,Valence,RESPECT,2.0,0.823
R_8868VvS8DH4InYh,Valence,ADMIRE,1.0,0.579
R_8868VvS8DH4InYh,Valence,ADORE,1.0,0.589
R_8868VvS8DH4InYh,Valence,CHERISH,1.0,1.126
R_8868VvS8DH4InYh,Valence,PULVERIZE,2.0,0.73
R_8868VvS8DH4InYh,Valence,SMASH,2.0,0.613
R_8868VvS8DH4InYh,Valence,KNIFE,2.0,0.593
R_8868VvS8DH4InYh,Valence,SLAUGHTER,2.0,0.596
R_8868VvS8DH4InYh,Valence,SLASH,2.0,0.971
R_8868VvS8DH4InYh,Valence,POLLUTE,2.0,0.624
R_8868VvS8DH4InYh,Valence,DELETE,2.0,0.697
R_8868VvS8DH4InYh,Valence,CORRODE,2.0,0.629
R_8868VvS8DH4InYh,Valence,DESTROY,2.0,0.656
R_8868VvS8DH4InYh,Valence,DIRTY,2.0,1.165
R_8868VvS8DH4InYh,Valence,LAMENT,2.0,0.594
R_8868VvS8DH4InYh,Valence,DISTRESS,2.0,0.626
R_8868VvS8DH4InYh,Valence,OFFEND,2.0,0.513
R_8868VvS8DH4InYh,Valence,DISPLEASE,2.0,0.623
R_8868VvS8DH4InYh,Valence,DISMAY,2.0,0.734
R_8868VvS8DH4InYh,Valence,CRITICIZE,2.0,0.659
R_8868VvS8DH4InYh,Valence,DREAD,2.0,0.522
R_8868VvS8DH4InYh,Valence,MOURN,2.0,0.548
R_8868VvS8DH4InYh,Valence,LOATHE,2.0,0.618
R_8868VvS8DH4InYh,Valence,WORRY,2.0,0.992
R_8868VvS8DH4InYh,Phys/Psych,TRUST,2.0,0.876
R_8868VvS8DH4InYh,Phys/Psych,PINCH,1.0,0.876
R_8868VvS8DH4InYh,Phys/Psych,REGRET,2.0,0.876
R_8868VvS8DH4InYh,Phys/Psych,BUILD,1.0,0.876
R_8868VvS8DH4InYh,Phys/Psych,CUDDLE,1.0,1.039
R_8868VvS8DH4InYh,Phys/Psych,REPAIR,1.0,0.724
R_8868VvS8DH4InYh,Phys/Psych,CARESS,1.0,1.001
R_8868VvS8DH4InYh,Phys/Psych,PET,1.0,0.596
R_8868VvS8DH4InYh,Phys/Psych,PRODUCE,1.0,1.07
R_8868VvS8DH4InYh,Phys/Psych,SCULPT,1.0,0.668
R_8868VvS8DH4InYh,Phys/Psych,TWINKLE,1.0,1.221
R_8868VvS8DH4InYh,Phys/Psych,DECORATE,1.0,0.755
R_8868VvS8DH4InYh,Phys/Psych,PRAISE,2.0,0.776
R_8868VvS8DH4InYh,Phys/Psych,THRILL,2.0,0.623
R_8868VvS8DH4InYh,Phys/Psych,CONTENT,2.0,1.101
R_8868VvS8DH4InYh,Phys/Psych,APPRECIATE,2.0,0.959
R_8868VvS8DH4InYh,Phys/Psych,IMPRESS,2.0,0.664
R_8868VvS8DH4InYh,Phys/Psych,RESPECT,2.0,0.748
R_8868VvS8DH4InYh,Phys/Psych,ADMIRE,2.0,0.678
R_8868VvS8DH4InYh,Phys/Psych,ADORE,2.0,0.675
R_8868VvS8DH4InYh,Phys/Psych,CHERISH,2.0,0.749
R_8868VvS8DH4InYh,Phys/Psych,PULVERIZE,1.0,0.868
R_8868VvS8DH4InYh,Phys/Psych,SMASH,1.0,0.73
R_8868VvS8DH4InYh,Phys/Psych,KNIFE,1.0,1.061
R_8868VvS8DH4InYh,Phys/Psych,SLAUGHTER,1.0,0.756
R_8868VvS8DH4InYh,Phys/Psych,SLASH,1.0,0.796
R_8868VvS8DH4InYh,Phys/Psych,POLLUTE,2.0,0.932
R_8868VvS8DH4InYh,Phys/Psych,DELETE,1.0,0.942
R_8868VvS8DH4InYh,Phys/Psych,CORRODE,1.0,0.88
R_8868VvS8DH4InYh,Phys/Psych,DESTROY,1.0,0.817
R_8868VvS8DH4InYh,Phys/Psych,DIRTY,2.0,0.67
R_8868VvS8DH4InYh,Phys/Psych,LAMENT,2.0,0.597
R_8868VvS8DH4InYh,Phys/Psych,DISTRESS,2.0,0.808
R_8868VvS8DH4InYh,Phys/Psych,OFFEND,2.0,0.704
R_8868VvS8DH4InYh,Phys/Psych,DISPLEASE,2.0,0.699
R_8868VvS8DH4InYh,Phys/Psych,DISMAY,2.0,0.686
R_8868VvS8DH4InYh,Phys/Psych,CRITICIZE,2.0,0.765
R_8868VvS8DH4InYh,Phys/Psych,DREAD,2.0,0.83
R_8868VvS8DH4InYh,Phys/Psych,MOURN,2.0,0.54
