"","ID.true","Word","Label","Animacy","Valence","Task","BlockOrder","Group","Response","Accuracy","EventTime","Value","RT","ReactionTime","Key_value_F","Key_value_J","Comments","LogReactionTime","LogRT","TrialNumber"
"1","63fcf7251ace1792db0941b0","intruder","test_val","animate","negative","Valence","VC","","negative",1,1738770141578,"negative",1769,1311,"B","negative;positive","",7.1785454837637,7.47816969415979,1
"2","63fcf7251ace1792db0941b0","gunshot","test_val","inanimate","negative","Valence","VC","","negative",1,1738770144059,"negative",1710.16666666667,1705,"B","negative;positive","",7.44132038971762,7.44434611063415,2
"3","63fcf7251ace1792db0941b0","princess","test_val","animate","positive","Valence","VC","","positive",1,1738770145834,"positive",1505.83333333333,1011,"B","negative;positive","",6.91869521902047,7.31710173379827,3
"4","63fcf7251ace1792db0941b0","sibling","test_val","animate","positive","Valence","VC","","positive",1,1738770147850,"positive",1651.33333333333,1254,"B","negative;positive","",7.13409372119287,7.4093383213812,4
"5","63fcf7251ace1792db0941b0","dictator","test_val","animate","negative","Valence","VC","","negative",1,1738770149618,"negative",1643,1008,"B","negative;positive","",6.91572344863131,7.40427911803727,5
"6","63fcf7251ace1792db0941b0","chipmunk","test_val","animate","positive","Valence","VC","","positive",1,1738770151290,"positive",1486.16666666667,912,"B","negative;positive","",6.81563999007433,7.30395537690682,6
"7","63fcf7251ace1792db0941b0","puppy","test_val","animate","positive","Valence","VC","","positive",1,1738770152962,"positive",1420,913,"B","negative;positive","",6.81673588059497,7.25841215059531,7
"8","63fcf7251ace1792db0941b0","award","test_val","inanimate","positive","Valence","VC","","positive",1,1738770154522,"positive",1514,801,"B","negative;positive","",6.68586094706836,7.32251043399739,8
"9","63fcf7251ace1792db0941b0","child","test_val","animate","positive","Valence","VC","","positive",1,1738770155930,"positive",1400.66666666667,646,"B","negative;positive","",6.4707995037826,7.24470359273684,9
"10","63fcf7251ace1792db0941b0","sandwich","test_val","inanimate","positive","Valence","VC","","positive",1,1738770157370,"positive",1539.5,678,"B","negative;positive","",6.5191472879404,7.33921296736456,10
"11","63fcf7251ace1792db0941b0","slave","test_val","animate","negative","Valence","VC","","negative",1,1738770158826,"negative",1551.33333333333,695,"B","negative;positive","",6.54391184556479,7.34687005519413,11
"12","63fcf7251ace1792db0941b0","feast","test_val","inanimate","positive","Valence","VC","","positive",1,1738770160521,"positive",1645.66666666667,936,"B","negative;positive","",6.84161547647759,7.40590084959075,12
"13","63fcf7251ace1792db0941b0","sunshine","test_val","inanimate","positive","Valence","VC","","positive",1,1738770162034,"positive",1672.83333333333,754,"B","negative;positive","",6.62539236800796,7.42227407458575,13
"14","63fcf7251ace1792db0941b0","comedian","test_val","animate","positive","Valence","VC","","positive",1,1738770163530,"positive",1547.16666666667,739,"B","negative;positive","",6.6052979209482,7.34418058017188,14
"15","63fcf7251ace1792db0941b0","wiretap","test_val","inanimate","negative","Valence","VC","","negative",1,1738770165138,"negative",1576.66666666667,845,"B","negative;positive","",6.73933662735717,7.36306819281787,15
"16","63fcf7251ace1792db0941b0","corpse","test_val","inanimate","negative","Valence","VC","","negative",1,1738770166578,"negative",1789.66666666667,677,"B","negative;positive","",6.51767127291227,7.48978466175446,16
"17","63fcf7251ace1792db0941b0","flood","test_val","inanimate","negative","Valence","VC","","negative",1,1738770168185,"negative",1540,834,"B","negative;positive","",6.72623340235875,7.33953769540767,17
"18","63fcf7251ace1792db0941b0","swastika","test_val","inanimate","negative","Valence","VC","","negative",1,1738770169681,"negative",1480.33333333333,736,"B","negative;positive","",6.60123011872888,7.30002256662399,18
"19","63fcf7251ace1792db0941b0","smallpox","test_val","inanimate","negative","Valence","VC","","negative",1,1738770171357,"negative",1618.33333333333,915,"B","negative;positive","",6.81892406527552,7.38915209205732,19
"20","63fcf7251ace1792db0941b0","widow","test_val","animate","negative","Valence","VC","","negative",1,1738770173066,"negative",1806.5,948,"B","negative;positive","",6.85435450225502,7.4991465505877,20
"21","63fcf7251ace1792db0941b0","duckling","test_val","animate","positive","Valence","VC","","positive",1,1738770174738,"positive",1461.83333333333,910,"B","negative;positive","",6.8134445995109,7.28744663472333,21
"22","63fcf7251ace1792db0941b0","pizza","test_val","inanimate","positive","Valence","VC","","positive",1,1738770176227,"positive",1548.5,727,"B","negative;positive","",6.58892647753352,7.34504199941326,22
"23","63fcf7251ace1792db0941b0","poison","test_val","inanimate","negative","Valence","VC","","negative",1,1738770177666,"negative",1472.33333333333,679,"B","negative;positive","",6.5206211275587,7.29460372292842,23
"24","63fcf7251ace1792db0941b0","leech","test_val","animate","negative","Valence","VC","","negative",1,1738770179194,"negative",1523.66666666667,765,"B","negative;positive","",6.63987583382654,7.32887498966363,24
"25","63fcf7251ace1792db0941b0","meadow","test_val","inanimate","positive","Valence","VC","","positive",1,1738770180786,"positive",1723,834,"B","negative;positive","",6.72623340235875,7.45182223652793,25
"26","63fcf7251ace1792db0941b0","asshole","test_val","animate","negative","Valence","VC","","negative",1,1738770182250,"negative",1668.16666666667,705,"B","negative;positive","",6.55819780281227,7.41948049799096,26
"27","63fcf7251ace1792db0941b0","prize","test_val","inanimate","positive","Valence","VC","","positive",1,1738770183810,"positive",1615.83333333333,800,"B","negative;positive","",6.68461172766793,7.3876060984487,27
"28","63fcf7251ace1792db0941b0","laughter","test_val","inanimate","positive","Valence","VC","","positive",1,1738770185338,"positive",1580.83333333333,770,"B","negative;positive","",6.64639051484773,7.36570741314106,28
"29","63fcf7251ace1792db0941b0","mugger","test_val","animate","negative","Valence","VC","","negative",1,1738770186850,"negative",1691,751,"B","negative;positive","",6.62140565176413,7.43307534889858,29
"30","63fcf7251ace1792db0941b0","inmate","test_val","animate","negative","Valence","VC","","negative",1,1738770188290,"negative",1590,680,"B","negative;positive","",6.52209279817015,7.37148929521428,30
"31","63fcf7251ace1792db0941b0","bunny","test_val","animate","positive","Valence","VC","","positive",1,1738770189754,"positive",1436,707,"B","negative;positive","",6.56103066589657,7.26961674960817,31
"32","63fcf7251ace1792db0941b0","husband","test_val","animate","positive","Valence","VC","","positive",1,1738770191218,"positive",1490.33333333333,702,"B","negative;positive","",6.55393340402581,7.30675508756587,32
"33","63fcf7251ace1792db0941b0","cocaine","test_val","inanimate","negative","Valence","VC","","negative",1,1738770192706,"negative",1508.66666666667,726,"B","negative;positive","",6.5875500148248,7.31898153752537,33
"34","63fcf7251ace1792db0941b0","maggot","test_val","animate","negative","Valence","VC","","negative",1,1738770194274,"negative",1499.5,808,"B","negative;positive","",6.69456205852109,7.31288699818906,34
"35","63fcf7251ace1792db0941b0","doughnut","test_val","inanimate","positive","Valence","VC","","positive",1,1738770195746,"positive",1495.16666666667,711,"B","negative;positive","",6.56667242980324,7.30999296233123,35
"36","63fcf7251ace1792db0941b0","kitten","test_val","animate","positive","Valence","VC","","positive",1,1738770197298,"positive",1404.66666666667,794,"B","negative;positive","",6.67708346124714,7.24755530569603,36
"37","63fcf7251ace1792db0941b0","tapeworm","test_val","animate","negative","Valence","VC","","negative",1,1738770198802,"negative",1573.16666666667,742,"B","negative;positive","",6.60934924316738,7.36084585209689,37
"38","63fcf7251ace1792db0941b0","excrement","test_val","inanimate","negative","Valence","VC","","negative",1,1738770200370,"negative",1582.16666666667,808,"B","negative;positive","",6.69456205852109,7.36655049465374,38
"39","63fcf7251ace1792db0941b0","heroin","test_val","inanimate","negative","Valence","VC","","negative",1,1738770201850,"negative",1510,720,"B","negative;positive","",6.5792512120101,7.31986492980897,39
"40","63fcf7251ace1792db0941b0","dollar","test_val","inanimate","positive","Valence","VC","","positive",1,1738770203369,"positive",1451.33333333333,760,"B","negative;positive","",6.63331843328038,7.28023795312638,40
"41","63fcf7251ace1792db0941b0","dollar","test_val","inanimate","positive","Valence","VC","","positive",1,1738770204682,"positive",1451.33333333333,552,"B","negative;positive","",6.31354804627709,7.28023795312638,41
"42","63fcf7251ace1792db0941b0","bunny","test_val","animate","positive","Valence","VC","","positive",1,1738770206090,"positive",1436,649,"B","negative;positive","",6.47543271670409,7.26961674960817,42
"43","63fcf7251ace1792db0941b0","kitten","test_val","animate","positive","Valence","VC","","positive",1,1738770207426,"positive",1404.66666666667,578,"B","negative;positive","",6.35957386867238,7.24755530569603,43
"44","63fcf7251ace1792db0941b0","puppy","test_val","animate","positive","Valence","VC","","positive",1,1738770208769,"positive",1420,582,"B","negative;positive","",6.36647044773144,7.25841215059531,44
"45","63fcf7251ace1792db0941b0","gunshot","test_val","inanimate","negative","Valence","VC","","negative",1,1738770210306,"negative",1710.16666666667,778,"B","negative;positive","",6.65672652417839,7.44434611063415,45
"46","63fcf7251ace1792db0941b0","feast","test_val","inanimate","positive","Valence","VC","","positive",1,1738770211979,"positive",1645.66666666667,913,"B","negative;positive","",6.81673588059497,7.40590084959075,46
"47","63fcf7251ace1792db0941b0","leech","test_val","animate","negative","Valence","VC","","negative",1,1738770213474,"negative",1523.66666666667,735,"B","negative;positive","",6.59987049921284,7.32887498966363,47
"48","63fcf7251ace1792db0941b0","pizza","test_val","inanimate","positive","Valence","VC","","positive",1,1738770214962,"positive",1548.5,730,"B","negative;positive","",6.59304453414244,7.34504199941326,48
"49","63fcf7251ace1792db0941b0","sunshine","test_val","inanimate","positive","Valence","VC","","positive",1,1738770216410,"positive",1672.83333333333,685,"B","negative;positive","",6.52941883826223,7.42227407458575,49
"50","63fcf7251ace1792db0941b0","meadow","test_val","inanimate","positive","Valence","VC","","positive",1,1738770217746,"positive",1723,577,"B","negative;positive","",6.3578422665081,7.45182223652793,50
"51","63fcf7251ace1792db0941b0","wiretap","test_val","inanimate","negative","Valence","VC","","negative",1,1738770219226,"negative",1576.66666666667,723,"B","negative;positive","",6.58340922215876,7.36306819281787,51
"52","63fcf7251ace1792db0941b0","flood","test_val","inanimate","negative","Valence","VC","","negative",1,1738770220674,"negative",1540,688,"B","negative;positive","",6.53378883793334,7.33953769540767,52
"53","63fcf7251ace1792db0941b0","corpse","test_val","inanimate","negative","Valence","VC","","negative",1,1738770222042,"negative",1789.66666666667,607,"B","negative;positive","",6.4085287910595,7.48978466175446,53
"54","63fcf7251ace1792db0941b0","tapeworm","test_val","animate","negative","Valence","VC","","negative",1,1738770223330,"negative",1573.16666666667,527,"B","negative;positive","",6.26720054854136,7.36084585209689,54
