Word,Concreteness,Valence,ConcValCombo
free,neutral,positive,neutral-positive
grin,concrete,positive,concrete-positive
hat,concrete,neutral,concrete-neutral
icebox,concrete,neutral,concrete-neutral
industry,neutral,neutral,neutral-neutral
insecure,abstract,negative,abstract-negative
invader,concrete,negative,concrete-negative
jail,concrete,negative,concrete-negative
joke,neutral,positive,neutral-positive
kitten,concrete,positive,concrete-positive
mind,psychological,NA,NA
dream,psychological,NA,NA
fear,psychological,NA,NA
memory,psychological,NA,NA
mood,psychological,NA,NA
body,physical,NA,NA
heat,physical,NA,NA
stone,physical,NA,NA
water,physical,NA,NA
hand,physical,NA,NA
