"","ID","Word","Label","Task","BlockOrder","EventTime","Value","ReactionTime","Key_value_F","Key_value_J","Comments","Group","LogReactionTime","TrialNumber"
"1","undefined","kitten","calibrator_val_feedback","Valence","SV",1748361474928,"positive",1634,"positive","negative","positive;negative","A",7.39878627541995,1
"2","undefined","free","calibrator_val_feedback","Valence","SV",1748361478754,"positive",1069,"positive","negative","positive;negative","A",6.97447891102505,2
"3","undefined","industry","calibrator_val_feedback","Valence","SV",1748361482665,"negative",1151,"positive","negative","positive;negative","A",7.04838640872188,3
"4","undefined","hat","calibrator_val_feedback","Valence","SV",1748361489145,"positive",3724,"positive","negative","positive;negative","A",8.22255363839696,4
"5","undefined","invader","calibrator_val_feedback","Valence","SV",1748361493006,"negative",1096,"positive","negative","positive;negative","A",6.99942246750796,5
"6","undefined","joke","calibrator_val_feedback","Valence","SV",1748361496798,"positive",1031,"positive","negative","positive;negative","A",6.93828448401696,6
"7","undefined","jail","calibrator_val_feedback","Valence","SV",1748361500424,"negative",861,"positive","negative","positive;negative","A",6.75809450442773,7
"8","undefined","icebox","calibrator_val_feedback","Valence","SV",1748361505905,"positive",2721,"positive","negative","positive;negative","A",7.90875473878325,8
"9","undefined","grin","calibrator_val_feedback","Valence","SV",1748361509673,"positive",1008,"positive","negative","positive;negative","A",6.91572344863131,9
"10","undefined","insecure","calibrator_val_feedback","Valence","SV",1748361514457,"negative",2019,"positive","negative","positive;negative","A",7.61035761831284,10
"11","undefined","invader","calibrator_val_no_feedback","Valence","SV",1748361518953,"negative",1734,"A","positive;negative","","",7.45818615734049,11
"12","undefined","grin","calibrator_val_no_feedback","Valence","SV",1748361520595,"positive",881,"A","positive;negative","","",6.78105762593618,12
"13","undefined","industry","calibrator_val_no_feedback","Valence","SV",1748361524174,"negative",2818,"A","positive;negative","","",7.94378269245863,13
"14","undefined","joke","calibrator_val_no_feedback","Valence","SV",1748361525554,"positive",625,"A","positive;negative","","",6.4377516497364,14
"15","undefined","free","calibrator_val_no_feedback","Valence","SV",1748361527072,"positive",760,"A","positive;negative","","",6.63331843328038,15
