Word,V.Mean.Sum,V.SD.Sum,SUBTLWF,Valence,Concreteness,word_length,Group
lively,7.12,1.36,4.06,positive,neutral,6,A
coronary,2.62,1.47,1.98,negative,neutral,8,A
homicidal,2.0,1.2,2.02,negative,abstract,9,A
delightful,7.38,1.83,9.2,positive,neutral,10,A
revolting,2.47,1.9,1.92,negative,neutral,9,A
fragrant,7.05,1.18,0.71,positive,neutral,8,A
adoring,7.38,1.32,0.69,positive,neutral,7,A
gruesome,2.89,1.41,2.04,negative,neutral,8,A
joyful,8.21,0.98,1.49,positive,neutral,6,A
sinister,2.63,1.57,2.18,negative,neutral,8,A
frightening,2.58,1.61,5.76,negative,neutral,11,A
intelligent,7.6,1.35,13.51,positive,neutral,11,A
compassionate,7.95,1.22,1.78,positive,abstract,13,A
excruciating,2.1,1.51,1.31,negative,neutral,12,A
gorgeous,7.57,1.66,24.06,positive,neutral,8,A
horrid,2.68,1.38,2.45,negative,neutral,6,A
fluffy,7.11,1.29,3.63,positive,neutral,6,A
vile,2.21,1.44,4.43,negative,neutral,4,A
horrendous,2.58,1.39,1.02,negative,neutral,10,A
extraordinary,7.45,1.39,15.12,positive,neutral,13,A
unreliable,2.74,1.19,1.67,negative,abstract,10,A
ancient,7.24,1.18,21.67,positive,neutral,7,A
spectacular,7.5,1.36,5.67,positive,abstract,11,A
disappointing,2.79,1.13,3.43,negative,abstract,13,A
useful,7.1,1.25,13.12,positive,neutral,6,A
unforgiving,2.41,1.59,0.51,negative,abstract,11,A
comatose,2.0,1.0,0.98,negative,neutral,8,A
colic,2.95,1.43,0.51,negative,neutral,5,A
convenient,7.15,1.5,8.55,positive,abstract,10,A
inexpensive,7.63,1.46,0.73,positive,neutral,11,A
fashionable,7.33,1.43,1.92,positive,abstract,11,A
unpaid,2.58,1.3,1.0,negative,neutral,6,A
smelly,2.68,1.46,4.14,negative,neutral,6,A
hateful,1.9,0.91,2.0,negative,neutral,7,A
infuriating,2.63,1.21,0.49,negative,neutral,11,A
racist,2.05,1.69,4.82,negative,neutral,6,A
irritating,2.63,1.42,2.18,negative,neutral,10,A
deteriorating,2.63,1.3,0.65,negative,neutral,13,A
sickening,2.53,1.58,0.9,negative,neutral,9,A
splendid,7.62,1.28,11.67,positive,abstract,8,A
nauseating,2.73,1.45,0.59,negative,neutral,10,A
unpleasant,2.53,1.43,6.1,negative,abstract,10,B
lethal,2.48,1.47,5.67,negative,neutral,6,B
enlightening,7.0,1.52,0.73,positive,abstract,12,B
gentle,7.42,1.72,16.55,positive,neutral,6,B
flowery,7.47,1.22,0.67,positive,neutral,7,B
playful,7.63,1.21,1.16,positive,neutral,7,B
faceless,2.58,1.74,0.73,negative,neutral,8,B
bloated,2.8,1.11,1.69,negative,neutral,7,B
ailing,2.95,1.43,0.51,negative,neutral,6,B
degenerate,2.7,1.3,1.82,negative,neutral,10,B
negligent,2.05,1.28,1.0,negative,abstract,9,B
adventurous,7.37,1.01,1.22,positive,abstract,11,B
distraught,2.81,1.47,1.55,negative,neutral,10,B
disorderly,2.95,1.39,1.35,negative,neutral,10,B
overworked,1.9,1.04,0.98,negative,neutral,10,B
disloyal,2.27,1.22,0.96,negative,abstract,8,B
colorful,7.43,1.4,3.2,positive,neutral,8,B
lovable,8.26,0.99,1.78,positive,abstract,7,B
respectful,7.45,1.26,1.9,positive,neutral,10,B
witty,7.25,1.21,3.2,positive,neutral,5,B
affordable,7.52,1.44,0.65,positive,neutral,10,B
confident,7.56,1.14,10.65,positive,neutral,9,B
dismal,2.6,1.39,0.94,negative,neutral,6,B
bankrupt,2.21,1.27,2.8,negative,neutral,8,B
beloved,7.38,2.13,12.76,positive,neutral,7,B
oceanic,7.45,1.26,0.61,positive,neutral,7,B
conceited,2.75,1.37,1.84,negative,abstract,9,B
triumphant,7.45,1.6,1.37,positive,abstract,10,B
delighted,7.74,1.05,12.94,positive,neutral,9,B
seasoned,7.16,1.42,0.98,positive,neutral,8,B
anguished,2.78,1.46,0.25,negative,neutral,9,B
gracious,7.23,1.23,7.16,positive,neutral,8,B
adorable,7.4,1.6,10.53,positive,abstract,8,B
delicious,7.38,1.83,21.53,positive,neutral,9,B
yummy,7.52,1.94,4.47,positive,neutral,5,B
ungrateful,2.68,1.45,4.61,negative,abstract,10,B
traitorous,2.32,1.11,0.47,negative,abstract,10,B
humiliating,2.16,1.57,5.88,negative,abstract,11,B
euphoric,7.8,1.4,0.41,positive,neutral,8,B
satisfied,7.16,1.26,15.51,positive,neutral,9,B
