Word,ConcValCombo
adverse,objective-negative
corrupt,objective-negative
bankrupt,objective-negative
unstable,objective-negative
deadly,objective-negative
faulty,objective-negative
defective,objective-negative
incurable,objective-negative
toxic,objective-negative
unfit,objective-negative
valuable,objective-positive
accurate,objective-positive
accurate,objective-positive
reliable,objective-positive
effective,objective-positive
efficient,objective-positive
efficient,objective-positive
healthy,objective-positive
profitable,objective-positive
successful,objective-positive
annoying,subjective-negative
pathetic,subjective-negative
hopeless,subjective-negative
arrogant,subjective-negative
pointless,subjective-negative
impatient,subjective-negative
hostile,subjective-negative
selfish,subjective-negative
cynical,subjective-negative
disgusting,subjective-negative
delicious,subjective-positive
beautiful,subjective-positive
brilliant,subjective-positive
authentic,subjective-positive
admirable,subjective-positive
refreshing,subjective-positive
harmonious,subjective-positive
optimistic,subjective-positive
thoughtful,subjective-positive
passionate,subjective-positive
