"","ID.true","Word","Label","Task","BlockOrder","EventTime","Value","ReactionTime","Key_value_F","Key_value_J","Comments","Group","LogReactionTime","TrialNumber"
"1","63fcf7251ace1792db0941b0","invader","calibrator_val_feedback","Valence","VC",1738770080386,"negative",1633,"positive","negative","positive;negative","A",7.39817409297047,1
"2","63fcf7251ace1792db0941b0","insecure","calibrator_val_feedback","Valence","VC",1738770084458,"negative",2320,"positive","negative","positive;negative","A",7.74932246466036,2
"3","63fcf7251ace1792db0941b0","industry","calibrator_val_feedback","Valence","VC",1738770089898,"negative",2679,"positive","negative","positive;negative","A",7.89319886954461,3
"4","63fcf7251ace1792db0941b0","jail","calibrator_val_feedback","Valence","VC",1738770093714,"negative",1049,"positive","negative","positive;negative","A",6.9555926083963,4
"5","63fcf7251ace1792db0941b0","free","calibrator_val_feedback","Valence","VC",1738770097474,"positive",998,"positive","negative","positive;negative","A",6.90575327631146,5
"6","63fcf7251ace1792db0941b0","icebox","calibrator_val_feedback","Valence","VC",1738770101882,"positive",1645,"positive","negative","positive;negative","A",7.40549566319947,6
"7","63fcf7251ace1792db0941b0","kitten","calibrator_val_feedback","Valence","VC",1738770105450,"positive",803,"positive","negative","positive;negative","A",6.68835471394676,7
"8","63fcf7251ace1792db0941b0","hat","calibrator_val_feedback","Valence","VC",1738770109466,"positive",1254,"positive","negative","positive;negative","A",7.13409372119287,8
"9","63fcf7251ace1792db0941b0","joke","calibrator_val_feedback","Valence","VC",1738770113011,"positive",780,"positive","negative","positive;negative","A",6.65929391968364,9
"10","63fcf7251ace1792db0941b0","grin","calibrator_val_feedback","Valence","VC",1738770116482,"positive",709,"positive","negative","positive;negative","A",6.56385552653213,10
"11","63fcf7251ace1792db0941b0","hat","calibrator_val_no_feedback","Valence","VC",1738770120058,"positive",813,"A","positive;negative","","",6.70073110954781,11
"12","63fcf7251ace1792db0941b0","joke","calibrator_val_no_feedback","Valence","VC",1738770121355,"positive",534,"A","positive;negative","","",6.2803958389602,12
"13","63fcf7251ace1792db0941b0","free","calibrator_val_no_feedback","Valence","VC",1738770122658,"positive",545,"A","positive;negative","","",6.30078579466324,13
"14","63fcf7251ace1792db0941b0","invader","calibrator_val_no_feedback","Valence","VC",1738770124050,"negative",633,"A","positive;negative","","",6.45047042214418,14
"15","63fcf7251ace1792db0941b0","icebox","calibrator_val_no_feedback","Valence","VC",1738770125482,"positive",672,"A","positive;negative","","",6.51025834052315,15
"16","63fcf7251ace1792db0941b0","industry","calibrator_val_no_feedback","Valence","VC",1738770127865,"positive",1623,"A","positive;negative","","",7.39203156751459,16
"17","63fcf7251ace1792db0941b0","grin","calibrator_val_no_feedback","Valence","VC",1738770129530,"positive",901,"A","positive;negative","","",6.80350525760834,17
"18","63fcf7251ace1792db0941b0","jail","calibrator_val_no_feedback","Valence","VC",1738770131129,"negative",841,"A","positive;negative","","",6.73459165997295,18
"19","63fcf7251ace1792db0941b0","kitten","calibrator_val_no_feedback","Valence","VC",1738770132858,"positive",967,"A","positive;negative","","",6.87419849545329,19
"20","63fcf7251ace1792db0941b0","insecure","calibrator_val_no_feedback","Valence","VC",1738770134538,"negative",923,"A","positive;negative","","",6.82762923450285,20
"21","63fcf7251ace1792db0941b0","human","calibrator_ani_feedback","Animacy","VC",1738770393258,"Option_J",1859,"inanimate","animate","Option_F;Option_J","B",7.52779398772144,21
"22","63fcf7251ace1792db0941b0","horse","calibrator_ani_feedback","Animacy","VC",1738770396986,"Option_J",964,"inanimate","animate","Option_F;Option_J","B",6.87109129461055,22
"23","63fcf7251ace1792db0941b0","monkey","calibrator_ani_feedback","Animacy","VC",1738770400514,"Option_J",761,"inanimate","animate","Option_F;Option_J","B",6.63463335786169,23
"24","63fcf7251ace1792db0941b0","elephant","calibrator_ani_feedback","Animacy","VC",1738770403955,"Option_J",681,"inanimate","animate","Option_F;Option_J","B",6.52356230614951,24
"25","63fcf7251ace1792db0941b0","chair","calibrator_ani_feedback","Animacy","VC",1738770407618,"Option_F",904,"inanimate","animate","Option_F;Option_J","B",6.80682936039218,25
"26","63fcf7251ace1792db0941b0","bottle","calibrator_ani_feedback","Animacy","VC",1738770411090,"Option_F",705,"inanimate","animate","Option_F;Option_J","B",6.55819780281227,26
"27","63fcf7251ace1792db0941b0","computer","calibrator_ani_feedback","Animacy","VC",1738770414610,"Option_F",760,"inanimate","animate","Option_F;Option_J","B",6.63331843328038,27
"28","63fcf7251ace1792db0941b0","teenager","calibrator_ani_feedback","Animacy","VC",1738770418306,"Option_J",931,"inanimate","animate","Option_F;Option_J","B",6.83625927727707,28
"29","63fcf7251ace1792db0941b0","clock","calibrator_ani_feedback","Animacy","VC",1738770421874,"Option_F",806,"inanimate","animate","Option_F;Option_J","B",6.69208374250663,29
"30","63fcf7251ace1792db0941b0","table","calibrator_ani_feedback","Animacy","VC",1738770425404,"Option_F",769,"inanimate","animate","Option_F;Option_J","B",6.64509096950564,30
"31","63fcf7251ace1792db0941b0","bottle","calibrator_ani_no_feedback","Animacy","VC",1738770428842,"inanimate",676,"B","inanimate;animate","","",6.51619307604296,31
"32","63fcf7251ace1792db0941b0","monkey","calibrator_ani_no_feedback","Animacy","VC",1738770430507,"animate",902,"B","inanimate;animate","","",6.80461452006262,32
"33","63fcf7251ace1792db0941b0","computer","calibrator_ani_no_feedback","Animacy","VC",1738770431906,"inanimate",643,"B","inanimate;animate","","",6.46614472423762,33
"34","63fcf7251ace1792db0941b0","table","calibrator_ani_no_feedback","Animacy","VC",1738770433530,"inanimate",863,"B","inanimate;animate","","",6.76041469108343,34
"35","63fcf7251ace1792db0941b0","clock","calibrator_ani_no_feedback","Animacy","VC",1738770434914,"inanimate",623,"B","inanimate;animate","","",6.43454651878745,35
"36","63fcf7251ace1792db0941b0","human","calibrator_ani_no_feedback","Animacy","VC",1738770436307,"animate",632,"B","inanimate;animate","","",6.44888939414686,36
"37","63fcf7251ace1792db0941b0","horse","calibrator_ani_no_feedback","Animacy","VC",1738770437642,"animate",576,"B","inanimate;animate","","",6.35610766069589,37
"38","63fcf7251ace1792db0941b0","teenager","calibrator_ani_no_feedback","Animacy","VC",1738770439154,"animate",756,"B","inanimate;animate","","",6.62804137617953,38
"39","63fcf7251ace1792db0941b0","chair","calibrator_ani_no_feedback","Animacy","VC",1738770440562,"inanimate",648,"B","inanimate;animate","","",6.47389069635227,39
"40","63fcf7251ace1792db0941b0","elephant","calibrator_ani_no_feedback","Animacy","VC",1738770441986,"animate",661,"B","inanimate;animate","","",6.49375383985169,40
"41","60fe22beeb612ead4d261590","monkey","calibrator_ani_feedback","Animacy","CV",1738785972066,"Option_F",806,"animate","inanimate","Option_F;Option_J","A",6.69208374250663,1
"42","60fe22beeb612ead4d261590","clock","calibrator_ani_feedback","Animacy","CV",1738785975573,"Option_J",744,"animate","inanimate","Option_F;Option_J","A",6.61204103483309,2
"43","60fe22beeb612ead4d261590","computer","calibrator_ani_feedback","Animacy","CV",1738785979122,"Option_J",785,"animate","inanimate","Option_F;Option_J","A",6.66568371778241,3
"44","60fe22beeb612ead4d261590","bottle","calibrator_ani_feedback","Animacy","CV",1738785982539,"Option_J",652,"animate","inanimate","Option_F;Option_J","A",6.48004456192665,4
"45","60fe22beeb612ead4d261590","human","calibrator_ani_feedback","Animacy","CV",1738785985876,"Option_F",570,"animate","inanimate","Option_F;Option_J","A",6.3456363608286,5
