"","Word","Experiment"
"1","puke","Ex1a: Conc-Abs (Verbs)"
"2","believe","Ex1a: Conc-Abs (Verbs)"
"3","slap","Ex1a: Conc-Abs (Verbs)"
"4","exploit","Ex1a: Conc-Abs (Verbs)"
"5","criticize","Ex1a: Conc-Abs (Verbs)"
"6","hope","Ex1a: Conc-Abs (Verbs)"
"7","justify","Ex1a: Conc-Abs (Verbs)"
"8","vomit","Ex1a: Conc-Abs (Verbs)"
"9","smack","Ex1a: Conc-Abs (Verbs)"
"10","cherish","Ex1a: Conc-Abs (Verbs)"
"11","running","Ex1a: Conc-Abs (Verbs)"
"12","sail","Ex1a: Conc-Abs (Verbs)"
"13","loathe","Ex1a: Conc-Abs (Verbs)"
"14","bleed","Ex1a: Conc-Abs (Verbs)"
"15","esteem","Ex1a: Conc-Abs (Verbs)"
"16","respect","Ex1a: Conc-Abs (Verbs)"
"17","swing","Ex1a: Conc-Abs (Verbs)"
"18","hug","Ex1a: Conc-Abs (Verbs)"
"19","admired","Ex1a: Conc-Abs (Verbs)"
"20","resent","Ex1a: Conc-Abs (Verbs)"
"21","imagine","Ex1a: Conc-Abs (Verbs)"
"22","smile","Ex1a: Conc-Abs (Verbs)"
"23","worry","Ex1a: Conc-Abs (Verbs)"
"24","cook","Ex1a: Conc-Abs (Verbs)"
"25","stab","Ex1a: Conc-Abs (Verbs)"
"26","spit","Ex1a: Conc-Abs (Verbs)"
"27","kiss","Ex1a: Conc-Abs (Verbs)"
"28","build","Ex1a: Conc-Abs (Verbs)"
"29","obsess","Ex1a: Conc-Abs (Verbs)"
"30","eat","Ex1a: Conc-Abs (Verbs)"
"31","annoy","Ex1a: Conc-Abs (Verbs)"
"32","scorn","Ex1a: Conc-Abs (Verbs)"
"33","scratch","Ex1a: Conc-Abs (Verbs)"
"34","fulfill","Ex1a: Conc-Abs (Verbs)"
"35","kill","Ex1a: Conc-Abs (Verbs)"
"36","enlighten","Ex1a: Conc-Abs (Verbs)"
"37","cuddle","Ex1a: Conc-Abs (Verbs)"
"38","murder","Ex1a: Conc-Abs (Verbs)"
"39","violate","Ex1a: Conc-Abs (Verbs)"
"40","befall","Ex1a: Conc-Abs (Verbs)"
"41","resentment","Ex1b: Conc-Abs (Nouns)"
"42","chocolate","Ex1b: Conc-Abs (Nouns)"
"43","sunshine","Ex1b: Conc-Abs (Nouns)"
"44","grief","Ex1b: Conc-Abs (Nouns)"
"45","garbage","Ex1b: Conc-Abs (Nouns)"
"46","failure","Ex1b: Conc-Abs (Nouns)"
"47","gratitude","Ex1b: Conc-Abs (Nouns)"
"48","hug","Ex1b: Conc-Abs (Nouns)"
"49","lonliness","Ex1b: Conc-Abs (Nouns)"
"50","fireplace","Ex1b: Conc-Abs (Nouns)"
"51","envy","Ex1b: Conc-Abs (Nouns)"
"52","love","Ex1b: Conc-Abs (Nouns)"
"53","rust","Ex1b: Conc-Abs (Nouns)"
"54","smoke","Ex1b: Conc-Abs (Nouns)"
"55","vomit","Ex1b: Conc-Abs (Nouns)"
"56","mold","Ex1b: Conc-Abs (Nouns)"
"57","freedom","Ex1b: Conc-Abs (Nouns)"
"58","filth","Ex1b: Conc-Abs (Nouns)"
"59","rot","Ex1b: Conc-Abs (Nouns)"
"60","kindness","Ex1b: Conc-Abs (Nouns)"
"61","rain","Ex1b: Conc-Abs (Nouns)"
"62","laughter","Ex1b: Conc-Abs (Nouns)"
"63","home","Ex1b: Conc-Abs (Nouns)"
"64","peace","Ex1b: Conc-Abs (Nouns)"
"65","flowers","Ex1b: Conc-Abs (Nouns)"
"66","mud","Ex1b: Conc-Abs (Nouns)"
"67","guilt","Ex1b: Conc-Abs (Nouns)"
"68","injury","Ex1b: Conc-Abs (Nouns)"
"69","regret","Ex1b: Conc-Abs (Nouns)"
"70","beach","Ex1b: Conc-Abs (Nouns)"
"71","stench","Ex1b: Conc-Abs (Nouns)"
"72","shame","Ex1b: Conc-Abs (Nouns)"
"73","compassion","Ex1b: Conc-Abs (Nouns)"
"74","despair","Ex1b: Conc-Abs (Nouns)"
"75","hope","Ex1b: Conc-Abs (Nouns)"
"76","joy","Ex1b: Conc-Abs (Nouns)"
"77","inspiration","Ex1b: Conc-Abs (Nouns)"
"78","happiness","Ex1b: Conc-Abs (Nouns)"
"79","anxiety","Ex1b: Conc-Abs (Nouns)"
"80","music","Ex1b: Conc-Abs (Nouns)"
"81","rusted","Ex1c: Conc-Abs (Adjs)"
"82","mindful","Ex1c: Conc-Abs (Adjs)"
"83","freezing","Ex1c: Conc-Abs (Adjs)"
"84","disloyal","Ex1c: Conc-Abs (Adjs)"
"85","soulless","Ex1c: Conc-Abs (Adjs)"
"86","evil","Ex1c: Conc-Abs (Adjs)"
"87","starry","Ex1c: Conc-Abs (Adjs)"
"88","female","Ex1c: Conc-Abs (Adjs)"
"89","headless","Ex1c: Conc-Abs (Adjs)"
"90","hairy","Ex1c: Conc-Abs (Adjs)"
"91","crappy","Ex1c: Conc-Abs (Adjs)"
"92","lovable","Ex1c: Conc-Abs (Adjs)"
"93","pleasant","Ex1c: Conc-Abs (Adjs)"
"94","bloody","Ex1c: Conc-Abs (Adjs)"
"95","pregnant","Ex1c: Conc-Abs (Adjs)"
"96","newborn","Ex1c: Conc-Abs (Adjs)"
"97","human","Ex1c: Conc-Abs (Adjs)"
"98","honest","Ex1c: Conc-Abs (Adjs)"
"99","worthless","Ex1c: Conc-Abs (Adjs)"
"100","possible","Ex1c: Conc-Abs (Adjs)"
"101","divine","Ex1c: Conc-Abs (Adjs)"
"102","dirty","Ex1c: Conc-Abs (Adjs)"
"103","toothless","Ex1c: Conc-Abs (Adjs)"
"104","bloodshot","Ex1c: Conc-Abs (Adjs)"
"105","heartless","Ex1c: Conc-Abs (Adjs)"
"106","thorny","Ex1c: Conc-Abs (Adjs)"
"107","handmade","Ex1c: Conc-Abs (Adjs)"
"108","lilac","Ex1c: Conc-Abs (Adjs)"
"109","thankful","Ex1c: Conc-Abs (Adjs)"
"110","blooming","Ex1c: Conc-Abs (Adjs)"
"111","sunny","Ex1c: Conc-Abs (Adjs)"
"112","helpful","Ex1c: Conc-Abs (Adjs)"
"113","orange","Ex1c: Conc-Abs (Adjs)"
"114","splendid","Ex1c: Conc-Abs (Adjs)"
"115","awful","Ex1c: Conc-Abs (Adjs)"
"116","wrinkled","Ex1c: Conc-Abs (Adjs)"
"117","stupid","Ex1c: Conc-Abs (Adjs)"
"118","sexist","Ex1c: Conc-Abs (Adjs)"
"119","sensible","Ex1c: Conc-Abs (Adjs)"
"120","sinful","Ex1c: Conc-Abs (Adjs)"
"121","rancid","Ex2b: Phys-Soc (Adjs)"
"122","fair","Ex2b: Phys-Soc (Adjs)"
"123","amiable","Ex2b: Phys-Soc (Adjs)"
"124","prosperous","Ex2b: Phys-Soc (Adjs)"
"125","soft","Ex2b: Phys-Soc (Adjs)"
"126","arrogant","Ex2b: Phys-Soc (Adjs)"
"127","oppressive","Ex2b: Phys-Soc (Adjs)"
"128","cruel","Ex2b: Phys-Soc (Adjs)"
"129","gritty","Ex2b: Phys-Soc (Adjs)"
"130","sour","Ex2b: Phys-Soc (Adjs)"
"131","judgmental","Ex2b: Phys-Soc (Adjs)"
"132","slim","Ex2b: Phys-Soc (Adjs)"
"133","brittle","Ex2b: Phys-Soc (Adjs)"
"134","hostile","Ex2b: Phys-Soc (Adjs)"
"135","gorgeous","Ex2b: Phys-Soc (Adjs)"
"136","generous","Ex2b: Phys-Soc (Adjs)"
"137","radiant","Ex2b: Phys-Soc (Adjs)"
"138","scrawny","Ex2b: Phys-Soc (Adjs)"
"139","sturdy","Ex2b: Phys-Soc (Adjs)"
"140","untrustworthy","Ex2b: Phys-Soc (Adjs)"
"141","selfish","Ex2b: Phys-Soc (Adjs)"
"142","corrupt","Ex2b: Phys-Soc (Adjs)"
"143","supportive","Ex2b: Phys-Soc (Adjs)"
"144","compassionate","Ex2b: Phys-Soc (Adjs)"
"145","moldy","Ex2b: Phys-Soc (Adjs)"
"146","lush","Ex2b: Phys-Soc (Adjs)"
"147","manipulative","Ex2b: Phys-Soc (Adjs)"
"148","elegant","Ex2b: Phys-Soc (Adjs)"
"149","polite","Ex2b: Phys-Soc (Adjs)"
"150","fragrant","Ex2b: Phys-Soc (Adjs)"
"151","ugly","Ex2b: Phys-Soc (Adjs)"
"152","smooth","Ex2b: Phys-Soc (Adjs)"
"153","trustworthy","Ex2b: Phys-Soc (Adjs)"
"154","youthful","Ex2b: Phys-Soc (Adjs)"
"155","sympathetic","Ex2b: Phys-Soc (Adjs)"
"156","unjust","Ex2b: Phys-Soc (Adjs)"
"157","obese","Ex2b: Phys-Soc (Adjs)"
"158","wrinkled","Ex2b: Phys-Soc (Adjs)"
"159","clammy","Ex2b: Phys-Soc (Adjs)"
"160","harmonious","Ex2b: Phys-Soc (Adjs)"
"161","dishonor","Ex2a: Phys-Psych (Verbs)"
"162","adore","Ex2a: Phys-Psych (Verbs)"
"163","like","Ex2a: Phys-Psych (Verbs)"
"164","respect","Ex2a: Phys-Psych (Verbs)"
"165","caress","Ex2a: Phys-Psych (Verbs)"
"166","decorate","Ex2a: Phys-Psych (Verbs)"
"167","content","Ex2a: Phys-Psych (Verbs)"
"168","dismay","Ex2a: Phys-Psych (Verbs)"
"169","appreciate","Ex2a: Phys-Psych (Verbs)"
"170","stain","Ex2a: Phys-Psych (Verbs)"
"171","burn","Ex2a: Phys-Psych (Verbs)"
"172","embarrass","Ex2a: Phys-Psych (Verbs)"
"173","hug","Ex2a: Phys-Psych (Verbs)"
"174","rust","Ex2a: Phys-Psych (Verbs)"
"175","discourage","Ex2a: Phys-Psych (Verbs)"
"176","clean","Ex2a: Phys-Psych (Verbs)"
"177","admire","Ex2a: Phys-Psych (Verbs)"
"178","hit","Ex2a: Phys-Psych (Verbs)"
"179","displease","Ex2a: Phys-Psych (Verbs)"
"180","cuddle","Ex2a: Phys-Psych (Verbs)"
"181","crash","Ex2a: Phys-Psych (Verbs)"
"182","sculpt","Ex2a: Phys-Psych (Verbs)"
"183","repair","Ex2a: Phys-Psych (Verbs)"
"184","corrode","Ex2a: Phys-Psych (Verbs)"
