,Word,Task,F_value,J_value,Group
0,cuddle,PhysPsych,psychological,physical,B
1,build,PhysPsych,psychological,physical,B
2,repair,PhysPsych,psychological,physical,B
3,caress,PhysPsych,psychological,physical,B
4,hug,PhysPsych,psychological,physical,B
5,produce,PhysPsych,psychological,physical,B
6,sculpt,PhysPsych,psychological,physical,B
7,twinkle,PhysPsych,psychological,physical,B
8,decorate,PhysPsych,psychological,physical,B
9,clean,PhysPsych,psychological,physical,B
10,content,PhysPsych,psychological,physical,B
11,encourage,PhysPsych,psychological,physical,B
12,appreciate,PhysPsych,psychological,physical,B
13,impress,PhysPsych,psychological,physical,B
14,like,PhysPsych,psychological,physical,B
15,reassure,PhysPsych,psychological,physical,B
16,respect,PhysPsych,psychological,physical,B
17,admire,PhysPsych,psychological,physical,B
18,adore,PhysPsych,psychological,physical,B
19,cherish,PhysPsych,psychological,physical,B
20,rust,PhysPsych,psychological,physical,B
21,slaughter,PhysPsych,psychological,physical,B
22,slash,PhysPsych,psychological,physical,B
23,crash,PhysPsych,psychological,physical,B
24,tear,PhysPsych,psychological,physical,B
25,burn,PhysPsych,psychological,physical,B
26,hit,PhysPsych,psychological,physical,B
27,stain,PhysPsych,psychological,physical,B
28,delete,PhysPsych,psychological,physical,B
29,corrode,PhysPsych,psychological,physical,B
30,offend,PhysPsych,psychological,physical,B
31,despair,PhysPsych,psychological,physical,B
32,irritate,PhysPsych,psychological,physical,B
33,displease,PhysPsych,psychological,physical,B
34,dishonor,PhysPsych,psychological,physical,B
35,embarrass,PhysPsych,psychological,physical,B
36,discourage,PhysPsych,psychological,physical,B
37,dismay,PhysPsych,psychological,physical,B
38,criticize,PhysPsych,psychological,physical,B
39,dread,PhysPsych,psychological,physical,B
