Word,FeatureCombo
moldy,physical-negative
soft,physical-positive
smooth,physical-positive
brittle,physical-negative
fragrant,physical-positive
sour,physical-negative
clammy,physical-negative
gritty,physical-negative
rancid,physical-negative
sturdy,physical-positive
lush,physical-positive
prosperous,social-positive
radiant,physical-positive
fair,social-positive
supportive,social-positive
harmonious,social-positive
corrupt,social-negative
compassionate,social-positive
oppressive,social-negative
unjust,social-negative
wrinkled,physical-negative
slim,physical-positive
obese,physical-negative
ugly,physical-negative
scrawny,physical-negative
youthful,physical-positive
hostile,social-negative
amiable,social-positive
trustworthy,social-positive
elegant,physical-positive
generous,social-positive
gorgeous,physical-positive
manipulative,social-negative
cruel,social-negative
arrogant,social-negative
untrustworthy,social-negative
selfish,social-negative
polite,social-positive
judgmental,social-negative
sympathetic,social-positive
