Word,FeatureCombo
heroin,inanimate-negative
swastika,inanimate-negative
wiretap,inanimate-negative
cocaine,inanimate-negative
excrement,inanimate-negative
poison,inanimate-negative
gunshot,inanimate-negative
flood,inanimate-negative
smallpox,inanimate-negative
corpse,inanimate-negative
prize,inanimate-positive
sunshine,inanimate-positive
award,inanimate-positive
pizza,inanimate-positive
laughter,inanimate-positive
feast,inanimate-positive
doughnut,inanimate-positive
dollar,inanimate-positive
sandwich,inanimate-positive
meadow,inanimate-positive
slave,animate-negative
asshole,animate-negative
maggot,animate-negative
inmate,animate-negative
dictator,animate-negative
leech,animate-negative
tapeworm,animate-negative
intruder,animate-negative
mugger,animate-negative
comedian,animate-positive
puppy,animate-positive
sibling,animate-positive
duckling,animate-positive
kitten,animate-positive
bunny,animate-positive
child,animate-positive
princess,animate-positive
chipmunk,animate-positive
husband,animate-positiv-
