Word,FeatureCombo
toxin,noun-negative
garbage,noun-negative
mud,noun-negative
corpse,noun-negative
slave,noun-negative
choke,verb-negative
fester,verb-negative
writhe,verb-negative
bleed,verb-negative
stab,verb-negative
terror,noun-negative
hatred,noun-negative
anxiety,noun-negative
failure,noun-negative
grief,noun-negative
befall,verb-negative
criticize,verb-negative
exploit,verb-negative
resent,verb-negative
obsess,verb-negative
compassion,noun-positive
freedom,noun-positive
gratitude,noun-positive
inspiration,noun-positive
kindness,noun-positive
admire,verb-positive
cherish,verb-positive
enlighten,verb-positive
fulfill,verb-positive
imagine,verb-positive
beach,noun-postiive
chocolate,noun-postiive
fireplace,noun-postiive
flowers,noun-postiive
home,noun-postiive
glide,verb-postiive
breathe,verb-postiive
glisten,verb-postiive
eat,verb-postiive
running,verb-postiive
