Word,ConcValCombo
Affable,social-positive
Amiable,social-positive
Diplomatic,social-positive
Generous,social-positive
Gregarious,social-positive
Polite,social-positive
Sympathetic,social-positive
Trustworthy,social-positive
Understanding,social-positive
Warm-hearted,social-positive
Aloof,social-negative
Arrogant,social-negative
Hostile,social-negative
Judgmental,social-negative
Selfish,social-negative
Bigoted,social-negative
Manipulative,social-negative
Cruel,social-negative
Domineering,social-negative
Untrustworthy,social-negative
Beautiful,physical-positive
Radiant,physical-positive
Elegant,physical-positive
Handsome,physical-positive
Gorgeous,physical-positive
Well-built,physical-positive
Youthful,physical-positive
Slim,physical-positive
Attractive,physical-positive
Fit,physical-positive
Ugly,physical-negative
Obese,physical-negative
Scrawny,physical-negative
Scarred,physical-negative
Wrinkled,physical-negative
Disheveled,physical-negative
Pale,physical-negative
Gaunt,physical-negative
Unkempt,physical-negative
Hunched,physical-negative
