Word,ConcValCombo
Affectionate,subjective-positive
Authentic,subjective-positive
Admirable,subjective-positive
Amicable,subjective-positive
Cheerful,subjective-positive
Compassionate,subjective-positive
Optimistic,subjective-positive
Thoughtful,subjective-positive
Passionate,subjective-positive
Vivacious,subjective-positive
Arrogant,subjective-negative
Cynical,subjective-negative
Judgmental,subjective-negative
Selfish,subjective-negative
Narrow-minded,subjective-negative
Pessimistic,subjective-negative
Cruel,subjective-negative
Aloof,subjective-negative
Impatient,subjective-negative
Hostile,subjective-negative
Efficient,objective-positive
Dependable,objective-positive
Organized,objective-positive
Reliable,objective-positive
Rational,objective-positive
Impartial,objective-positive
Accurate,objective-positive
Qualified,objective-positive
Outstanding,objective-positive
Proficient,objective-positive
Faulty,objective-negative
Imperfect,objective-negative
Unfit,objective-negative
Damaging,objective-negative
Dysfunctional,objective-negative
Unsatisfactory,objective-negative
Adverse,objective-negative
Corrupt,objective-negative
Inadequate,objective-negative
Abysmal,objective-negative
